TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,full_practce.thisRepN,full_practce.thisTrialN,full_practce.thisN,full_practce.thisIndex,enc_full_practice.thisRepN,enc_full_practice.thisTrialN,enc_full_practice.thisN,enc_full_practice.thisIndex,rec_full_practice.thisRepN,rec_full_practice.thisTrialN,rec_full_practice.thisN,rec_full_practice.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,rec_trials.thisRepN,rec_trials.thisTrialN,rec_trials.thisN,rec_trials.thisIndex,welcome_image.started,welcome_image.stopped,welcome_text.started,welcome_text.stopped,general_instructions_text.started,general_instructions_text.stopped,general_instructions_key.keys,general_instructions_key.rt,general_instructions_key.started,general_instructions_key.stopped,general_instructions_continue.started,general_instructions_continue.stopped,general_instructions_4_key.keys,general_instructions_4_key.rt,general_instructions_4_key.started,general_instructions_4_key.stopped,general_instructions_4_continue.started,general_instructions_4_continue.stopped,general_instructions_4_text.started,general_instructions_4_text.stopped,start_practice_text.started,start_practice_text.stopped,start_practice_block.started,start_practice_block.stopped,enc_fx_interior_practice.started,enc_fx_interior_practice.stopped,enc_fx_cross_practice.started,enc_fx_cross_practice.stopped,enc_fx_key_practice.keys,enc_fx_key_practice.started,enc_fx_key_practice.stopped,enc_fx_text_block_practice.started,enc_fx_text_block_practice.stopped,enc_fx_instructions_text_practice.started,enc_fx_instructions_text_practice.stopped,enc_trial_interior_practice.started,enc_trial_interior_practice.stopped,enc_trial_main_image_practice.started,enc_trial_main_image_practice.stopped,enc_trial_key_practice.keys,enc_trial_key_practice.rt,enc_trial_key_practice.started,enc_trial_key_practice.stopped,enc_trial_text_block_practice.started,enc_trial_text_block_practice.stopped,enc_trial_instructions_text_practice.started,enc_trial_instructions_text_practice.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_feedback_block.started,enc_practice_feedback_block.stopped,start_recognition_text.started,start_recognition_text.stopped,block_title_text.started,block_title_text.stopped,rec_fx_interior_practice.started,rec_fx_interior_practice.stopped,rec_fx_cross_practice.started,rec_fx_cross_practice.stopped,rec_fx_key_practice.keys,rec_fx_key_practice.started,rec_fx_key_practice.stopped,rec_fx_text_block_practice.started,rec_fx_text_block_practice.stopped,rec_fx_instructions_text_practice.started,rec_fx_instructions_text_practice.stopped,rec_trial_interior_practice.started,rec_trial_interior_practice.stopped,rec_trial_main_image_practice.started,rec_trial_main_image_practice.stopped,rec_trial_key_practice.keys,rec_trial_key_practice.rt,rec_trial_key_practice.started,rec_trial_key_practice.stopped,rec_trial_text_block_practice.started,rec_trial_text_block_practice.stopped,rec_trial_instructions_text_practice.started,rec_trial_instructions_text_practice.stopped,rec_practice_feedback_text.started,rec_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,coming_up_next_text.started,coming_up_next_text.stopped,wait_for_last_scan_text.started,wait_for_last_scan_text.stopped,wait_for_last_scan_continue.keys,wait_for_last_scan_continue.rt,wait_for_last_scan_continue.started,wait_for_last_scan_continue.stopped,trigger_time,start_MR_text.started,start_MR_text.stopped,MR_trigger.keys,MR_trigger.rt,MR_trigger.started,MR_trigger.stopped,trigger,start_enc_run_text.started,start_enc_run_text.stopped,encoding_title_text.started,encoding_title_text.stopped,start_rec_block_text.started,start_rec_block_text.stopped,encoding_baseline_interior.started,encoding_baseline_interior.stopped,encoding_baseline_text_block.started,encoding_baseline_text_block.stopped,encoding_baseline_instructions_text.started,encoding_baseline_instructions_text.stopped,enc_loop_start_time,enc_fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_text_block.started,enc_fx_text_block.stopped,enc_fx_instructions_text.started,enc_fx_instructions_text.stopped,enc_trial_start_time,enc_stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_trial_text_block.started,enc_trial_text_block.stopped,enc_trial_instructions_text.started,enc_trial_instructions_text.stopped,math_problem.started,math_problem.stopped,math_solution.started,math_solution.stopped,filler_task_resp.keys,filler_task_resp.corr,filler_task_resp.rt,filler_task_resp.started,filler_task_resp.stopped,recognition_baseline_interior.started,recognition_baseline_interior.stopped,recognition_baseline_text_block.started,recognition_baseline_text_block.stopped,recognition_baseline_instructions_text.started,recognition_baseline_instructions_text.stopped,rec_loop_start_time,rec_fx_start_time,rec_fx_interior.started,rec_fx_interior.stopped,rec_fx_cross.started,rec_fx_cross.stopped,rec_fx_key.keys,rec_fx_key.started,rec_fx_key.stopped,rec_fx_text_block.started,rec_fx_text_block.stopped,rec_fx_instructions_text.started,rec_fx_instructions_text.stopped,rec_trial_start_time,rec_stimulus_start_time,rec_trial_interior.started,rec_trial_interior.stopped,rec_trial_main_image.started,rec_trial_main_image.stopped,rec_trial_key.keys,rec_trial_key.rt,rec_trial_key.started,rec_trial_key.stopped,rec_trial_text_block.started,rec_trial_text_block.stopped,rec_trial_instructions_text.started,rec_trial_instructions_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,inter_task_break_continue.started,inter_task_break_continue.stopped,inter_task_break_text.started,inter_task_break_text.stopped,inter_task_break_key.keys,inter_task_break_key.rt,inter_task_break_key.started,inter_task_break_key.stopped,ID,Session,Stimuli Table,Practice,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045161082060076296,None,0.045161082060076296,None,3.02839418919757,None,d,3.818421758362092,7.995007175952196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9950445734430104,None,d,10.641043308656663,12.828314937185496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
1,800,1,1,OBJ,LURE,1,1,stimuli/fractals/177c.jpg,0.078125,-0.41666666700000005,stimuli/fractals/170a.jpg,stimuli/fractals/170b.jpg,stimuli/fractals/170c.jpg,0.078125,-0.41666666700000005,-0.078125,-0.41666666700000005,0.234375,-0.41666666700000005,-0.390625,0.13888888900000002,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.828314937185496,None,11.844987823977135,None,23.494874875759706,None,24.51154571340885,None,34.04479581594933,None,34.04479581594933,None,None,34.04479581594933,None,34.04479581594933,None,34.04479581594933,None,34.86145604902413,None,34.86145604902413,None,b,1.1840633831452578,34.86145604902413,None,34.86145604902413,None,34.86145604902413,None,37.87809947889764,None,37.87809947889764,None,37.87809947889764,None,37.87809947889764,None,38.861417626962066,None,41.36139905627351,None,42.87805029854644,None,42.87805029854644,None,None,42.87805029854644,None,42.87805029854644,None,42.87805029854644,None,43.71139110287186,None,43.71139110287186,None,b,1.9499183275038376,43.71139110287186,None,43.71139110287186,None,43.71139110287186,None,47.69468850304838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
2,4000,1,1,OBJ,TARGET,1,1,stimuli/fractals/178a.jpg,0.390625,0.41666666700000005,stimuli/fractals/171a.jpg,stimuli/fractals/171b.jpg,stimuli/fractals/171c.jpg,0.390625,0.41666666700000005,0.234375,0.41666666700000005,0.390625,0.13888888900000002,-0.234375,0.13888888900000002,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.694657765328884,None,49.694657765328884,None,None,49.694657765328884,None,49.694657765328884,None,49.694657765328884,None,53.71129274228588,None,53.71129274228588,None,b,1.0940824071876705,53.71129274228588,None,53.71129274228588,None,53.71129274228588,None,57.711254320223816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
2,4000,1,1,OBJ,TARGET,1,1,stimuli/fractals/178a.jpg,0.390625,0.41666666700000005,stimuli/fractals/171a.jpg,stimuli/fractals/171b.jpg,stimuli/fractals/171c.jpg,0.390625,0.41666666700000005,0.234375,0.41666666700000005,0.390625,0.13888888900000002,-0.234375,0.13888888900000002,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
3,2000,1,1,OBJ,LURE,1,1,stimuli/fractals/179c.jpg,-0.390625,-0.41666666700000005,stimuli/fractals/172a.jpg,stimuli/fractals/172b.jpg,stimuli/fractals/172c.jpg,-0.390625,-0.41666666700000005,-0.390625,-0.13888888900000002,-0.234375,-0.41666666700000005,0.390625,0.41666666700000005,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.71124176902231,None,66.24451466859318,None,66.24451466859318,None,None,66.24451466859318,None,66.24451466859318,None,66.24451466859318,None,68.26116578292567,None,68.26116578292567,None,c,1.1762447415385395,68.26116578292567,None,68.26116578292567,None,68.26116578292567,None,71.27780921268277,None,71.27780921268277,None,71.27780921268277,None,71.27780921268277,None,72.26113069069106,None,74.76112262206152,None,76.26108048576862,None,76.26108048576862,None,None,76.26108048576862,None,76.26108048576862,None,76.26108048576862,None,78.2777479934739,None,78.2777479934739,None,b,2.2476688669994473,78.2777479934739,None,78.2777479934739,None,78.2777479934739,None,82.2777088029543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
4,1000,1,2,LOC,LURE,1,1,stimuli/fractals/180a.jpg,-0.078125,0.13888888900000002,stimuli/fractals/173a.jpg,stimuli/fractals/173b.jpg,stimuli/fractals/173c.jpg,-0.078125,0.41666666700000005,0.078125,0.41666666700000005,-0.078125,0.13888888900000002,0.390625,-0.41666666700000005,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.27769778855145,None,84.27769778855145,None,None,84.27769778855145,None,84.27769778855145,None,84.27769778855145,None,85.29435505042784,None,85.29435505042784,None,c,2.7190002159914,85.29435505042784,None,85.29435505042784,None,85.29435505042784,None,89.29431611602195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
5,900,1,2,LOC,TARGET,1,1,stimuli/fractals/181a.jpg,-0.390625,-0.13888888900000002,stimuli/fractals/174a.jpg,stimuli/fractals/174b.jpg,stimuli/fractals/174c.jpg,-0.390625,-0.13888888900000002,-0.234375,-0.13888888900000002,-0.390625,0.13888888900000002,0.234375,0.13888888900000002,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.29430971236434,None,d,5.215742149739526,92.27762376202736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
2,3000,1,1,OBJ,OLP,1,3,stimuli/fractals/100c.jpg,-0.0844531741447629,-0.0928396776424439,stimuli/fractals/100c.jpg,stimuli/fractals/100b.jpg,stimuli/fractals/100a.jpg,-0.0844531741447629,-0.0928396776424439,-0.172532772930868,-0.32810748544241497,-0.238051546029152,-0.38733097703710795,0.38376490611496294,0.37377464148054296,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.27762376202736,None,91.29430971236434,None,97.54426366987173,None,space,7.261619163677096,98.5275725965621,None,117.8790638736682,105.81084082159214,None,s,12.050332696991973,105.81084082159214,None,0.6993432125309482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714943,1,0,1,2021_Feb_04_0936,TérKépÉsz,2020.2.9,59.553092801112555,
