TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.started,start_enc_run_trigger.stopped,loop_start_time,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_trigger.keys,enc_fx_trigger.started,enc_fx_trigger.stopped,trial_start_time,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_trial_trigger.keys,enc_trial_trigger.rt,enc_trial_trigger.started,enc_trial_trigger.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,ID,practice,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.969708499999797,None,16.411568000000443,None,16.411568000000443,None,d,173.00784610000028,21.378692199999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.378692199999932,None,194.4074241999997,None,194.4074241999997,None,d,2.0121769999996104,199.39061219999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.39061219999985,None,201.4239220999998,None,d,0.571577900000193,206.4071286999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.4071286999997,None,207.00712649999969,None,208.02379699999983,None,d,1.755952200000138,209.0070378999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/131c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/131c.jpg,stimuli/fractals/131b.jpg,stimuli/fractals/131a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0070378999999,None,210.79037909999988,None,['s'],[5.500491400000101],210.79037909999988,None,201.41785249999975,8.028718200000185,216.30691219999972,None,None,216.30691219999972,None,3.0232757000003403,3.0497169000000213,219.3401297999999,None,219.3401297999999,None,None,219.3401297999999,None,None,219.3401297999999,None,5.088384300000143,5.115716300000713,221.4067501999998,None,221.4067501999998,None,c,0.5158189000003404,221.4067501999998,None,s,2.61088430000018,221.4067501999998,None,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/72b.jpg,-0.078125,0.4166666666666667,stimuli/fractals/72b.jpg,stimuli/fractals/72a.jpg,stimuli/fractals/72c.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.045678400000725,,,,,,,8.065729400000237,224.3566980000005,None,224.3566980000005,None,None,224.3566980000005,None,None,224.3566980000005,None,14.06738840000071,14.082717800000864,230.37320830000044,None,230.37320830000044,None,b,0.5656140999999479,230.37320830000044,None,s,2.372050899999522,230.37320830000044,None,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
3.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/41b.jpg,0.390625,0.4166666666666667,stimuli/fractals/41b.jpg,stimuli/fractals/41a.jpg,stimuli/fractals/41c.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.062225200000285,,,,,,,17.082721000000674,233.37318460000006,None,233.37318460000006,None,None,233.37318460000006,None,None,233.37318460000006,None,19.10918220000076,19.132208100000753,235.42322539999986,None,235.42322539999986,None,b,0.7313570000005711,235.42322539999986,None,s,2.6901169000002483,235.42322539999986,None,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
4.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/115a.jpg,0.078125,0.4166666666666667,stimuli/fractals/115a.jpg,stimuli/fractals/115b.jpg,stimuli/fractals/115c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.8899505999998,None,['s'],[7.937208500000452],243.8899505999998,None,236.9654790000004,7.030600099999901,251.85639790000005,None,None,251.85639790000005,None,3.0308774999994057,3.051591499999631,254.88966390000041,None,254.88966390000041,None,None,254.88966390000041,None,None,254.88966390000041,None,4.071726299999682,4.084585999999945,255.9226276999998,None,255.9226276999998,None,c,0.8960090000000491,255.9226276999998,None,s,2.638184200000069,255.9226276999998,None,238.3898250000002,None,d,0.4854826000000685,243.3732670999998,None,243.3732670999998,None,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
5.0,5000.0,1.0,OLP,2.0,0.0,stimuli/fractals/131b.jpg,-0.234375,0.1388888888888889,stimuli/fractals/131c.jpg,stimuli/fractals/131b.jpg,stimuli/fractals/131a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.046636500000204,,,,,,,7.067589299999781,258.9058707000004,None,258.9058707000004,None,None,258.9058707000004,None,None,258.9058707000004,None,12.071313200000077,12.08459640000001,263.92243469999994,None,263.92243469999994,None,b,0.6564958999997543,263.92243469999994,None,s,2.8782626000001983,263.92243469999994,None,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
6.0,3000.0,1.0,OLP,2.0,0.0,stimuli/fractals/72a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/72b.jpg,stimuli/fractals/72a.jpg,stimuli/fractals/72c.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.063619699999435,,,,,,,15.084585300000072,266.9223698000005,None,266.9223698000005,None,None,266.9223698000005,None,None,266.9223698000005,None,18.095698099999936,18.117612399999416,269.9556222000001,None,269.9556222000001,None,b,0.51085299999977,269.9556222000001,None,s,2.933339999999589,269.9556222000001,None,,,,,,,,,0000000,0,2020_Aug_28_1156,TerKepEsz-Encoding_MR,2020.1.3,60.00211207416505,
