Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.rt,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_fx_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.rt,start_enc_run_trigger.started,start_enc_run_trigger.stopped,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_trigger.keys,enc_fx_trigger.rt,enc_fx_trigger.started,enc_fx_trigger.stopped,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_trial_trigger.keys,enc_trial_trigger.rt,enc_trial_trigger.started,enc_trial_trigger.stopped,enc_fx_key.rt,enc_trial_key.rt,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.368820700001379,None,13.825202799998806,None,13.825202799998806,None,d,0.3403801000022213,18.791783199998463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.791783199998463,None,19.15843070000119,None,19.15843070000119,None,d,0.10263869999835151,24.14165950000097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.14165950000097,None,24.274997399999847,None,d,0.24185819999911473,29.25817879999886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.25817879999886,None,29.52483779999966,None,30.558171100001346,None,30.558171100001346,None,None,30.558171100001346,None,32.091092099999514,None,32.091092099999514,None,c,0.5370430999973905,32.091092099999514,None,35.107667799999035,None,35.107667799999035,None,35.107667799999035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.074308300001576,None,36.074308300001576,None,None,36.074308300001576,None,36.59100849999959,None,36.59100849999959,None,b,2.757016700001259,36.59100849999959,None,39.607554099999106,None,39.607554099999106,None,39.607554099999106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5908883000011,None,40.5908883000011,None,c,40.5908883000011,None,41.607527899999695,None,41.607527899999695,None,c,1.300579300001118,41.607527899999695,None,44.624147300000914,None,44.624147300000914,None,44.624147300000914,None,0.9652793000022939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.60740969999824,None,45.60740969999824,None,None,45.60740969999824,None,46.62405420000141,None,46.62405420000141,None,None,,46.62405420000141,None,49.62398440000106,None,49.62398440000106,None,49.62398440000106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6239628000003,None,50.6239628000003,None,None,50.6239628000003,None,55.640677600000345,None,55.640677600000345,None,None,,55.640677600000345,None,58.65722900000037,None,58.65722900000037,None,58.65722900000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.64059300000008,None,59.64059300000008,None,None,59.64059300000008,None,60.45718459999989,None,60.45718459999989,None,b,2.442910000001575,60.45718459999989,None,63.47380509999857,None,63.47380509999857,None,63.47380509999857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.45709379999971,None,64.45709379999971,None,None,64.45709379999971,None,67.49034960000063,None,67.49034960000063,None,None,,67.49034960000063,None,70.4902828000013,None,70.4902828000013,None,70.4902828000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-0.2344,-0.4167,800,Encoding,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.47364540000126,None,71.47364540000126,None,None,71.47364540000126,None,72.29024639999989,None,72.29024639999989,None,None,,72.29024639999989,None,75.30683439999848,None,75.30683439999848,None,75.30683439999848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.29017820000081,None,76.29017820000081,None,None,76.29017820000081,None,77.8067802000005,None,77.8067802000005,None,None,,77.8067802000005,None,80.82337059999918,None,80.82337059999918,None,80.82337059999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.80670449999889,None,d,1.1750088000007963,82.77333210000143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,OLP,1.0,stimuli/fractals/22c.jpg,-0.234375,0.1388888888888889,2000.0,,1.0,1.0,3.0,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.77333210000143,None,83.97329320000063,None,['s'],[1.0788494999978866],83.97329320000063,None,72.76185500000065,1617.033001500091,85.0732749000017,None,s,2.755137399999512,85.0732749000017,None,3.0318191000005754,88.10652919999848,None,88.10652919999848,None,None,88.10652919999848,None,s,1.6078426000021864,88.10652919999848,None,5.074009100000694,90.1567099999993,None,90.1567099999993,None,None,90.1567099999993,None,s,2.0060049000021536,90.1567099999993,None,,,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,OLP,1.0,stimuli/fractals/77a.jpg,-0.078125,0.4166666666666667,6000.0,,2.0,1.0,3.0,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6229.700965500164,,,,,,,8.048062099998788,93.12306800000079,None,93.12306800000079,None,c,93.12306800000079,None,s,5.160035800003243,93.12306800000079,None,14.062568000001193,99.13958629999979,None,99.13958629999979,None,c,99.13958629999979,None,s,2.3268272999994224,99.13958629999979,None,2.2010001999988162,0.880542199996853,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,LLP,1.0,stimuli/fractals/106b.jpg,0.390625,0.4166666666666667,2000.0,,3.0,1.0,5.0,stimuli/fractals/106b.jpg,stimuli/fractals/106c.jpg,stimuli/fractals/106a.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10298.79911550018,,,,,,,17.064458100001502,102.1395436999992,None,102.1395436999992,None,None,102.1395436999992,None,s,1.6306810000023688,102.1395436999992,None,19.079454099999566,104.15616080000109,None,104.15616080000109,None,b,104.15616080000109,None,s,2.0787464000022737,104.15616080000109,None,,0.6321376000014425,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,ERP,1.0,stimuli/fractals/105a.jpg,0.078125,0.4166666666666667,1000.0,,4.0,1.0,2.0,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,stimuli/fractals/105c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.93957769999906,None,['s'],[5.656807899998967],112.93957769999906,None,106.31159169999955,804.9680333002652,118.62270530000023,None,s,2.477587899997161,118.62270530000023,None,3.0260845000011614,121.65597680000064,None,121.65597680000064,None,None,121.65597680000064,None,s,0.6100904999984778,121.65597680000064,None,4.051137100002961,122.68926809999903,None,122.68926809999903,None,c,122.68926809999903,None,s,2.6733840000015334,122.68926809999903,None,,0.459094499998173,107.15607589999854,None,d,0.760078399998747,112.15607929999896,None,112.15607929999896,None,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,OLP,2.0,stimuli/fractals/22a.jpg,-0.234375,0.1388888888888889,5000.0,,5.0,1.0,0.0,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765.645822500708,,,,,,,7.046223700002884,125.67215370000122,None,125.67215370000122,None,None,125.67215370000122,None,s,4.418276799999148,125.67215370000122,None,12.065378000002966,130.68871470000158,None,130.68871470000158,None,c,130.68871470000158,None,s,2.490220199997566,130.68871470000158,None,,0.6354672999987088,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,OLP,2.0,stimuli/fractals/77c.jpg,-0.078125,0.4166666666666667,3000.0,,6.0,1.0,0.0,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10421.269769901137,,,,,,,15.063316800002212,133.68867500000124,None,133.68867500000124,None,None,133.68867500000124,None,s,1.9703311000012036,133.68867500000124,None,18.079873500002577,136.70524709999881,None,136.70524709999881,None,c,136.70524709999881,None,s,2.8012885999996797,136.70524709999881,None,,0.7631115999975009,,,,,,,,,000000,n,i,2020_Aug_27_1938,TerKepEsz-Encoding_MR,2020.1.3,60.008629241535814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.70516869999847,None,d,1.379070099999808,144.705034300001,None,144.705034300001,None,,,,,,,,
