TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_practice_block.thisRepN,enc_practice_block.thisTrialN,enc_practice_block.thisN,enc_practice_block.thisIndex,general_instructions_text.started,general_instructions_text.stopped,general_instructions_key.keys,general_instructions_key.rt,general_instructions_key.started,general_instructions_key.stopped,general_instructions_continue.started,general_instructions_continue.stopped,general_instructions_text_2.started,general_instructions_text_2.stopped,general_instructions_key_2.keys,general_instructions_key_2.rt,general_instructions_key_2.started,general_instructions_key_2.stopped,general_instructions_continue_2.started,general_instructions_continue_2.stopped,general_instructions_text_3.started,general_instructions_text_3.stopped,general_instructions_key_3.keys,general_instructions_key_3.rt,general_instructions_key_3.started,general_instructions_key_3.stopped,general_instructions_continue_3.started,general_instructions_continue_3.stopped,encoding_title_text.started,encoding_title_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_2_text_2.started,enc_instructions_2_text_2.stopped,enc_instructions_2_image_2.started,enc_instructions_2_image_2.stopped,enc_instructions_2_key_2.keys,enc_instructions_2_key_2.rt,enc_instructions_2_key_2.started,enc_instructions_2_key_2.stopped,instructions_2_continue_2.started,instructions_2_continue_2.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,start_practice_block.started,start_practice_block.stopped,enc_fx_interior_practice.started,enc_fx_interior_practice.stopped,enc_fx_cross_practice.started,enc_fx_cross_practice.stopped,enc_fx_key_practice.keys,enc_fx_key_practice.started,enc_fx_key_practice.stopped,enc_fx_text_block_practice.started,enc_fx_text_block_practice.stopped,enc_fx_instructions_text_practice.started,enc_fx_instructions_text_practice.stopped,enc_trial_interior_practice.started,enc_trial_interior_practice.stopped,enc_trial_main_image_practice.started,enc_trial_main_image_practice.stopped,enc_trial_key_practice.keys,enc_trial_key_practice.rt,enc_trial_key_practice.started,enc_trial_key_practice.stopped,enc_trial_text_block_practice.started,enc_trial_text_block_practice.stopped,enc_trial_instructions_text_practice.started,enc_trial_instructions_text_practice.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_feedback_block.started,enc_practice_feedback_block.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,coming_up_next_text.started,coming_up_next_text.stopped,start_recognition_text.started,start_recognition_text.stopped,ID,Session,Table,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.103143599932082,None,d,14.888684500008821,25.048816499998793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.048816499998793,None,39.966000599903055,None,d,0.5161022000247613,49.94902759999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.94902759999968,None,50.48238899989519,None,d,0.58361029997468,60.46551659994293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.46551659994293,None,61.06549049995374,None,63.06544379994739,None,63.06544379994739,None,d,0.5051096000242978,68.04860379989259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.04860379989259,None,68.58196709991898,None,68.58196709991898,None,d,0.500060599995777,73.56514649989549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.56514649989549,None,74.08184269990306,None,74.08184269990306,None,d,0.6481285999761894,79.0650116999168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0650116999168,None,79.73170989996288,None,d,0.5022611999884248,84.71485839993693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
2,4000,1,1,OBJ,TARGET,1,1,stimuli/fractals/171a.jpg,0.390625,0.41666666700000005,stimuli/fractals/171a.jpg,stimuli/fractals/171b.jpg,stimuli/fractals/171c.jpg,0.390625,0.41666666700000005,0.234375,0.41666666700000005,0.390625,0.13888888900000002,-0.234375,0.13888888900000002,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,86.24821329989936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.71485839993693,None,85.23282839998137,None,88.28146470000502,None,89.79814159998205,None,89.79814159998205,None,None,89.79814159998205,None,89.79814159998205,None,89.79814159998205,None,93.83130719990004,None,93.83130719990004,None,b,0.7458426000084728,93.83130719990004,None,93.83130719990004,None,93.83130719990004,None,96.84789569990244,None,96.84789569990244,None,96.84789569990244,None,96.84789569990244,None,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
1,800,1,1,OBJ,LURE,1,1,stimuli/fractals/170a.jpg,0.078125,-0.13888888900000002,stimuli/fractals/170a.jpg,stimuli/fractals/170b.jpg,stimuli/fractals/170c.jpg,0.078125,-0.13888888900000002,0.234375,-0.13888888900000002,-0.078125,-0.13888888900000002,-0.390625,0.41666666700000005,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8138168998994,None,97.8138168998994,None,None,97.8138168998994,None,97.8138168998994,None,97.8138168998994,None,98.63042009994388,None,98.63042009994388,None,c,0.6506535999942571,98.63042009994388,None,98.63042009994388,None,98.63042009994388,None,101.64707469998393,None,101.64707469998393,None,101.64707469998393,None,101.64707469998393,None,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
3,2000,1,1,OBJ,FOIL,1,1,stimuli/fractals/172a.jpg,-0.390625,-0.13888888900000002,stimuli/fractals/172a.jpg,stimuli/fractals/172b.jpg,stimuli/fractals/172c.jpg,-0.390625,-0.13888888900000002,-0.234375,-0.13888888900000002,-0.390625,0.13888888900000002,0.234375,0.13888888900000002,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.63036909990478,None,102.63036909990478,None,None,102.63036909990478,None,102.63036909990478,None,102.63036909990478,None,104.64694439992309,None,104.64694439992309,None,b,0.38619930006098,104.64694439992309,None,104.64694439992309,None,104.64694439992309,None,107.66353869996965,None,107.66353869996965,None,107.66353869996965,None,107.66353869996965,None,,,,,,,,,,,,,000000,1,1,2020_Sep_18_1245,TRK-online,2020.1.3,59.99556032266788,
