TrialIndex,TrialType,StimType,FX/IMG,Response,RT,TimePassed
1,OBJ,FOIL,IMG,k,1.099969,4.132871
2,OBJ,LURE,IMG,k,1.400265,10.466356
3,OBJ,TARGET,IMG,j,1.716320,17.815324
4,OBJ,FOIL,IMG,f,1.616737,23.748752
5,OBJ,TARGET,IMG,j,1.716386,28.882161
6,OBJ,FOIL,IMG,k,1.549861,35.765515
7,OBJ,TARGET,IMG,j,1.716356,40.981526
8,OBJ,TARGET,IMG,k,1.117073,46.398637
9,OBJ,TARGET,IMG,k,2.333765,53.648400
10,OBJ,FOIL,IMG,f,1.650549,63.014815
11,OBJ,LURE,IMG,j,1.533855,68.931247
12,OBJ,FOIL,IMG,k,1.066103,74.497457
13,OBJ,LURE,IMG,k,0.966371,81.447643
14,OBJ,FOIL,IMG,j,1.450100,87.980775
15,OBJ,LURE,IMG,j,1.650558,93.214276
16,OBJ,LURE,IMG,f,1.582678,98.196710
17,OBJ,TARGET,IMG,k,1.216879,102.363725
18,OBJ,FOIL,IMG,k,1.133027,109.313626
19,LOC,TARGET,IMG,k,1.682458,117.929487
20,LOC,FOIL,IMG,j,1.467015,122.746594
21,LOC,LURE,IMG,f,1.483015,129.795731
22,LOC,TARGET,IMG,j,2.033596,135.379867
23,LOC,TARGET,IMG,f,1.467053,139.862786
24,LOC,TARGET,IMG,k,1.817182,145.229489
25,LOC,FOIL,IMG,j,2.149210,154.595363
26,LOC,TARGET,IMG,f,2.366626,159.361736
27,LOC,FOIL,IMG,j,2.232941,164.261726
28,LOC,LURE,IMG,j,1.716417,169.777992
29,LOC,FOIL,IMG,k,1.565787,181.661162
30,LOC,FOIL,IMG,k,1.417285,188.561812
31,LOC,FOIL,IMG,j,1.733451,193.394642
32,LOC,FOIL,IMG,k,1.733343,199.427468
33,LOC,LURE,IMG,j,1.532884,204.260537
34,LOC,TARGET,IMG,f,1.549801,209.294094
35,LOC,LURE,IMG,f,1.132948,213.910706
36,LOC,FOIL,IMG,f,1.366355,220.176970
37,OBJ,FOIL,IMG,f,1.450096,227.343732
38,OBJ,FOIL,IMG,f,1.399242,237.326296
39,OBJ,LURE,IMG,f,1.466076,243.442826
40,OBJ,TARGET,IMG,f,1.849165,248.859422
41,OBJ,TARGET,IMG,f,1.700398,255.759956
42,OBJ,LURE,IMG,j,1.233711,260.309898
43,OBJ,TARGET,IMG,j,1.650601,269.759648
44,OBJ,TARGET,IMG,k,1.333415,274.475960
45,OBJ,TARGET,IMG,f,1.350500,281.509349
46,OBJ,TARGET,IMG,f,1.333443,286.525866
47,OBJ,LURE,IMG,f,1.300507,291.542424
48,OBJ,LURE,IMG,f,1.083151,298.358719
49,OBJ,FOIL,IMG,j,1.400231,304.725148
50,OBJ,FOIL,IMG,j,1.149896,311.508461
51,OBJ,LURE,IMG,k,1.549824,316.958343
52,OBJ,LURE,IMG,j,1.250671,322.708140
53,OBJ,LURE,IMG,k,1.066018,329.557532
54,OBJ,LURE,IMG,j,2.016671,336.557999
55,LOC,LURE,IMG,j,1.783140,348.606772
56,LOC,LURE,IMG,f,1.766317,356.623384
57,LOC,LURE,IMG,j,1.733377,361.623997
58,LOC,FOIL,IMG,k,1.750262,370.673746
59,LOC,FOIL,IMG,k,2.133251,378.089871
60,LOC,LURE,IMG,j,2.234017,383.240096
61,LOC,TARGET,IMG,j,1.383315,387.422953
62,LOC,TARGET,IMG,k,2.366593,393.439800
63,LOC,FOIL,IMG,j,1.300533,397.406202
64,LOC,LURE,IMG,j,1.499967,403.638715
65,LOC,LURE,IMG,k,1.383313,408.555582
66,LOC,TARGET,IMG,j,1.599660,416.788547
67,LOC,LURE,IMG,j,2.283872,423.505545
68,LOC,LURE,IMG,j,1.350474,429.605327
69,LOC,LURE,IMG,f,2.316662,435.104500
70,LOC,TARGET,IMG,f,1.717446,439.538666
71,LOC,TARGET,IMG,k,1.349332,445.187514
72,LOC,FOIL,IMG,k,1.149908,450.021548
73,OBJ,LURE,IMG,j,1.899895,458.837944
74,OBJ,FOIL,IMG,j,1.932791,463.403852
75,OBJ,TARGET,IMG,f,1.532909,468.037476
76,OBJ,TARGET,IMG,f,1.149864,475.704187
77,OBJ,FOIL,IMG,k,0.999297,480.603299
78,OBJ,FOIL,IMG,j,1.633571,487.287352
79,OBJ,LURE,IMG,f,1.233681,491.920531
80,OBJ,FOIL,IMG,f,1.700449,499.420296
81,OBJ,LURE,IMG,k,1.100026,507.852703
82,OBJ,FOIL,IMG,k,1.067189,514.853306
83,OBJ,TARGET,IMG,j,1.399197,523.202137
84,OBJ,TARGET,IMG,j,1.666814,529.502543
86,OBJ,FOIL,IMG,j,1.316356,543.252238
87,OBJ,LURE,IMG,f,1.433203,548.418879
88,OBJ,TARGET,IMG,k,1.383339,560.418767
89,OBJ,FOIL,IMG,j,1.399271,567.501170
90,OBJ,TARGET,IMG,k,2.466416,575.617612
91,LOC,TARGET,IMG,j,1.533014,581.734312
92,LOC,FOIL,IMG,j,1.800196,590.051080
93,LOC,FOIL,IMG,k,1.699393,594.966921
94,LOC,TARGET,IMG,k,1.850060,602.150699
95,LOC,LURE,IMG,f,1.366250,606.700417
96,LOC,LURE,IMG,k,1.733240,612.116913
97,LOC,TARGET,IMG,f,1.066162,616.466384
98,LOC,FOIL,IMG,j,1.549826,621.983657
99,LOC,FOIL,IMG,j,1.767278,630.233540
100,LOC,LURE,IMG,j,1.949874,642.449949
101,LOC,LURE,IMG,f,1.666523,652.215787
102,LOC,TARGET,IMG,k,1.667438,656.749662
103,LOC,TARGET,IMG,k,1.149938,662.265919
104,LOC,LURE,IMG,k,1.650597,669.815712
105,LOC,FOIL,IMG,j,1.400261,676.598560
106,LOC,FOIL,IMG,j,0.950453,681.165344
107,LOC,FOIL,IMG,k,1.532893,686.781313
108,LOC,FOIL,IMG,j,1.883947,691.665212
109,OBJ,LURE,IMG,j,1.182793,699.014594
110,OBJ,TARGET,IMG,k,1.249702,705.131286
111,OBJ,TARGET,IMG,f,1.233706,710.164843
112,OBJ,FOIL,IMG,j,1.383303,715.347754
113,OBJ,FOIL,IMG,k,1.083140,721.097677
114,OBJ,TARGET,IMG,k,2.066384,728.113838
115,OBJ,TARGET,IMG,f,1.549836,733.630074
116,OBJ,TARGET,IMG,f,1.799169,738.413276
117,OBJ,LURE,IMG,f,1.182822,745.846439
118,OBJ,TARGET,IMG,f,0.966402,751.680210
119,OBJ,FOIL,IMG,f,1.216758,756.979554
120,OBJ,LURE,IMG,j,1.416359,762.213075
121,OBJ,FOIL,IMG,j,1.450132,769.296609
122,OBJ,FOIL,IMG,j,1.699432,776.579297
123,OBJ,FOIL,IMG,k,1.800164,782.729061
124,OBJ,LURE,IMG,k,1.466972,788.429224
125,OBJ,LURE,IMG,j,1.383283,793.379327
126,OBJ,LURE,IMG,k,1.384278,798.429300
127,LOC,FOIL,IMG,k,1.716421,805.811571
128,LOC,TARGET,IMG,j,1.566800,810.695504
129,LOC,TARGET,IMG,j,1.182804,816.361338
130,LOC,TARGET,IMG,j,1.916876,823.128442
131,LOC,LURE,IMG,f,2.000637,832.245028
132,LOC,FOIL,IMG,j,1.699423,837.977737
133,LOC,TARGET,IMG,k,1.650571,842.961341
134,LOC,FOIL,IMG,f,1.882872,851.210261
135,LOC,TARGET,IMG,k,1.583745,856.943916
136,LOC,TARGET,IMG,j,2.016550,862.393360
137,LOC,FOIL,IMG,f,1.800166,868.210762
138,LOC,LURE,IMG,j,1.667580,875.127316
139,LOC,LURE,IMG,f,2.249958,880.243562
140,LOC,TARGET,IMG,f,2.166161,889.209564
141,LOC,LURE,IMG,k,1.699415,894.792628
142,LOC,TARGET,IMG,j,1.434125,899.559873
143,LOC,LURE,IMG,k,1.716429,904.375975
144,LOC,LURE,IMG,k,2.233123,910.942431
