TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,triggers,start_enc_run_text.started,start_enc_run_text.stopped,loop_start_time,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,trial_start_time,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,ID,practice,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.003385900001376,None,16.44376209999973,None,16.44376209999973,None,d,6.517620500000703,21.41028019999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.41028019999976,None,27.960141400000794,None,27.960141400000794,None,d,0.5927164000004268,32.94338030000108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.94338030000108,None,33.56002790000093,None,d,0.8006086000004871,38.543230200000835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.543230200000835,None,39.35988250000082,None,40.37650290000056,None,d,1.6875727999995433,41.3764624000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3764624000014,None,43.093133899999884,None,['s'],[10.81077120000009],43.093133899999884,None,39.00294080000094,0.0028848999991168967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.926192800001445,None,3.0238578999997117,3.0477468999997654,56.959433900001386,None,56.959433900001386,None,None,56.959433900001386,None,5.067588299998533,5.097746299999926,59.00952470000084,None,59.00952470000084,None,None,59.00952470000084,None,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06474679999883,61.97611750000033,None,61.97611750000033,None,None,61.97611750000033,None,14.05527599999914,14.080676399998993,67.99249930000042,None,67.99249930000042,None,None,67.99249930000042,None,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
3.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/25c.jpg,0.390625,0.4166666666666667,stimuli/fractals/25c.jpg,stimuli/fractals/25b.jpg,stimuli/fractals/25a.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.080756699999256,70.99242690000028,None,70.99242690000028,None,None,70.99242690000028,None,19.076121399999465,19.097746800000095,73.00904869999977,None,73.00904869999977,None,None,73.00904869999977,None,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.00873150000007,None,['s'],[7.911378700000569],87.00873150000007,None,80.01687169999968,0.0018328000005567446,,,,,,,,,,,,,,,,,,,,,76.0089693000009,None,d,5.999610299999404,80.9921830000003,None,80.9921830000003,None,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
4.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/4a.jpg,0.078125,0.4166666666666667,stimuli/fractals/4a.jpg,stimuli/fractals/4b.jpg,stimuli/fractals/4c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.94185319999997,None,3.0253200000006473,3.04935420000038,97.97511810000105,None,97.97511810000105,None,None,97.97511810000105,None,4.042251700000634,4.066323900000498,98.99175600000126,None,98.99175600000126,None,None,98.99175600000126,None,,,,,,,,,0,0,2020_Sep_02_1807,TerKepEsz-Encoding_MR,2020.1.3,59.98544753069629,
