Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.rt,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.started,start_enc_run_trigger.stopped,loop_start_time,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_trigger.keys,enc_fx_trigger.started,enc_fx_trigger.stopped,trial_start_time,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_trial_trigger.keys,enc_trial_trigger.rt,enc_trial_trigger.started,enc_trial_trigger.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-0.2344,-0.4167,800,Encoding,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.48084160000008,None,92.48084160000008,None,None,92.48084160000008,None,93.29750160000003,None,93.29750160000003,None,None,,93.29750160000003,None,96.3140972000001,None,96.3140972000001,None,96.3140972000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.29739640000025,None,97.29739640000025,None,None,97.29739640000025,None,98.81402500000013,None,98.81402500000013,None,None,,98.81402500000013,None,101.83062990000008,None,101.83062990000008,None,101.83062990000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.81395939999993,None,d,4.345621599999959,103.79723250000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
,,OLP,1.0,stimuli/fractals/22c.jpg,-0.234375,0.1388888888888889,2000.0,,1.0,1.0,3.0,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.79723250000006,None,108.16408070000034,None,['s'],[2.8345390000004045],108.16408070000034,None,79.24753079999982,1320.1535500001046,111.01400960000001,None,None,111.01400960000001,None,3.0500662000004013,3.0827192000006107,114.08058790000041,None,114.08058790000041,None,None,114.08058790000041,None,None,114.08058790000041,None,5.116448600000695,5.149726100000407,116.14734550000003,None,116.14734550000003,None,c,0.5632525999999416,116.14734550000003,None,s,2.5221058999995876,116.14734550000003,None,,,,,,,,,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
,,OLP,1.0,stimuli/fractals/77a.jpg,-0.078125,0.4166666666666667,6000.0,,2.0,1.0,3.0,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7736.376481100281,,,,,,,8.099730200000522,119.0969,None,119.0969,None,None,119.0969,None,None,119.0969,None,14.105703900000663,14.132721900000433,125.13009460000058,None,125.13009460000058,None,b,0.8208286999997654,125.13009460000058,None,s,2.035237999999481,125.13009460000058,None,,,,,,,,,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
,,LLP,1.0,stimuli/fractals/106b.jpg,0.390625,0.4166666666666667,2000.0,,3.0,1.0,5.0,stimuli/fractals/106b.jpg,stimuli/fractals/106c.jpg,stimuli/fractals/106a.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11523.595119300346,,,,,,,17.11571660000027,128.1133648,None,128.1133648,None,None,128.1133648,None,None,128.1133648,None,19.12916790000054,19.14972149999994,130.14662420000013,None,130.14662420000013,None,b,0.5002505000002202,130.14662420000013,None,s,1.8741085999999996,130.14662420000013,None,,,,,,,,,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
,,ERP,1.0,stimuli/fractals/105a.jpg,0.078125,0.4166666666666667,1000.0,,4.0,1.0,2.0,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,stimuli/fractals/105c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.49641490000022,None,['s'],[2.9901638000001185],138.49641490000022,None,109.74565290000055,1122.1369062998856,141.51304720000053,None,None,141.51304720000053,None,3.024066799999673,3.0505849999999555,144.5462848000002,None,144.5462848000002,None,None,144.5462848000002,None,None,144.5462848000002,None,4.064658999999665,4.0836012999998275,145.5795834000005,None,145.5795834000005,None,c,0.4510760000002847,145.5795834000005,None,s,2.4737909000004947,145.5795834000005,None,133.12989340000013,None,d,0.34883720000016183,138.12979229999974,None,138.12979229999974,None,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
,,OLP,2.0,stimuli/fractals/22a.jpg,-0.234375,0.1388888888888889,5000.0,,5.0,1.0,0.0,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5957.4491568997255,,,,,,,7.06760789999953,148.5628625000004,None,148.5628625000004,None,None,148.5628625000004,None,None,148.5628625000004,None,12.07878509999955,12.100603599999886,153.59606099999974,None,153.59606099999974,None,None,,153.59606099999974,None,s,2.4971149000002697,153.59606099999974,None,,,,,,,,,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
,,OLP,2.0,stimuli/fractals/77c.jpg,-0.078125,0.4166666666666667,3000.0,,6.0,1.0,0.0,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11653.688902199607,,,,,,,15.083590100000038,156.5793490000001,None,156.5793490000001,None,None,156.5793490000001,None,None,156.5793490000001,None,18.083070699999553,18.100593499999377,159.59591909999972,None,159.59591909999972,None,None,,159.59591909999972,None,s,2.505292499999996,159.59591909999972,None,,,,,,,,,000000,n,i,2020_Aug_28_1142,TerKepEsz-Encoding_MR,2020.1.3,60.00657672073196,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5958467000005,None,d,13.346611899999516,167.59597760000042,None,167.59597760000042,None,,,,,,,,
