Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_trial_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.rt,start_enc_run_trigger.started,start_enc_run_trigger.stopped,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.rt,enc_fx_key.started,enc_fx_key.stopped,enc_fx_trigger.keys,enc_fx_trigger.rt,enc_fx_trigger.started,enc_fx_trigger.stopped,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_trial_trigger.keys,enc_trial_trigger.rt,enc_trial_trigger.started,enc_trial_trigger.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-0.2344,-0.4167,800,Encoding,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8318102000012,None,76.8318102000012,None,None,76.8318102000012,None,77.64841310000338,None,77.64841310000338,None,None,77.64841310000338,None,80.66517100000056,None,80.66517100000056,None,80.66517100000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.64845300000161,None,81.64845300000161,None,None,81.64845300000161,None,83.16507670000283,None,83.16507670000283,None,None,83.16507670000283,None,86.18166290000227,None,86.18166290000227,None,86.18166290000227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.16497260000324,None,d,1.3793901999997615,88.13161300000138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
,,OLP,1.0,stimuli/fractals/22c.jpg,-0.234375,0.1388888888888889,2000.0,,1.0,1.0,3.0,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.13161300000138,None,89.53157410000131,None,['s'],[12.85147710000092],89.53157410000131,None,91.44141970000055,1819.933882899364,102.39817720000065,None,s,2.91288859999986,102.39817720000065,None,3.0252049999980954,105.43146920000072,None,105.43146920000072,None,c,1.6955637000028219,105.43146920000072,None,s,1.8855915999993158,105.43146920000072,None,5.05698510000002,107.46458430000348,None,107.46458430000348,None,b,1.0304832000001625,107.46458430000348,None,s,2.812298400000145,107.46458430000348,None,,,,,,,,,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
,,OLP,1.0,stimuli/fractals/77a.jpg,-0.078125,0.4166666666666667,6000.0,,2.0,1.0,3.0,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7266.9725334988,,,,,,,8.046427699999185,110.44765460000053,None,110.44765460000053,None,None,,110.44765460000053,None,s,5.2215980000000854,110.44765460000053,None,14.061841299997468,116.46414410000216,None,116.46414410000216,None,c,0.9429337000001397,116.46414410000216,None,s,2.5174107999991975,116.46414410000216,None,,,,,,,,,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
,,LLP,1.0,stimuli/fractals/106b.jpg,0.390625,0.4166666666666667,2000.0,,3.0,1.0,5.0,stimuli/fractals/106b.jpg,stimuli/fractals/106c.jpg,stimuli/fractals/106a.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10027.61520669861,,,,,,,17.062424799998553,119.4640653000024,None,119.4640653000024,None,None,,119.4640653000024,None,s,1.3976217000017641,119.4640653000024,None,19.074398499997187,121.48068550000244,None,121.48068550000244,None,None,,121.48068550000244,None,s,1.3085207999974955,121.48068550000244,None,,,,,,,,,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
,,ERP,1.0,stimuli/fractals/105a.jpg,0.078125,0.4166666666666667,1000.0,,4.0,1.0,2.0,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,stimuli/fractals/105c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.41381690000344,None,['s'],[2.697181499999715],130.41381690000344,None,122.17320919999838,1184.949661600207,133.1304052000014,None,s,1.940645399998175,133.1304052000014,None,3.024768100000074,136.16366800000105,None,136.16366800000105,None,None,,136.16366800000105,None,s,0.2333513999983552,136.16366800000105,None,4.039976700001716,137.163645800003,None,137.163645800003,None,b,2.147396199998184,137.163645800003,None,s,1.7934599000000162,137.163645800003,None,124.48068030000286,None,d,0.9274244000007457,129.46382710000034,None,129.46382710000034,None,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
,,OLP,2.0,stimuli/fractals/22a.jpg,-0.234375,0.1388888888888889,5000.0,,5.0,1.0,0.0,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5460.208296400506,,,,,,,7.032051000001957,140.16356710000036,None,140.16356710000036,None,None,,140.16356710000036,None,s,4.953426599997329,140.16356710000036,None,12.038828799999465,145.18026360000295,None,145.18026360000295,None,b,0.5868685999994341,145.18026360000295,None,s,2.561459799999284,145.18026360000295,None,,,,,,,,,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
,,OLP,2.0,stimuli/fractals/77c.jpg,-0.078125,0.4166666666666667,3000.0,,6.0,1.0,0.0,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11161.834317500721,,,,,,,15.046725000000151,148.18018470000243,None,148.18018470000243,None,None,,148.18018470000243,None,s,1.91353049999816,148.18018470000243,None,18.057761300002312,151.19681420000052,None,151.19681420000052,None,b,1.7625234000006458,151.19681420000052,None,s,2.6965981000030297,151.19681420000052,None,,,,,,,,,000000,n,i,2020_Aug_27_1953,TerKepEsz-Encoding_MR,2020.1.3,60.002472102774846,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.1966956000033,None,d,1.9632019000018772,159.17991040000197,None,159.17991040000197,None,,,,,,,,
