TrialIndex,Order,StimType,FX/IMG,ImagePreseneted,Xcoordinate,Ycoordinate,Response,RT, TimePassed
1,1,OLP,IMG,Stimuli/Fractals/140b.jpg,212.132034,212.132034,j,1.800098,3.833724
2,1,OLP,IMG,Stimuli/Fractals/132a.jpg,212.132034,-212.132034,f,1.466942,12.566727
3,1,LLP,IMG,Stimuli/Fractals/65c.jpg,212.132034,212.132034,j,2.016543,18.166432
4,1,ERP,IMG,Stimuli/Fractals/99c.jpg,212.132034,-212.132034,j,1.366256,21.565680
5,2,OLP,IMG,Stimuli/Fractals/140c.jpg,212.132034,212.132034,j,2.416447,30.665741
6,2,OLP,IMG,Stimuli/Fractals/132b.jpg,212.132034,-212.132034,f,1.499950,35.799304
7,2,ERP,IMG,Stimuli/Fractals/99c.jpg,212.132034,-212.132034,j,2.265962,45.615043
8,1,ERP,IMG,Stimuli/Fractals/86b.jpg,-212.132034,-212.132034,f,1.316529,49.715351
9,2,LLP,IMG,Stimuli/Fractals/65c.jpg,300.000000,0.000000,f,2.967121,56.415437
10,1,LLP,IMG,Stimuli/Fractals/77c.jpg,212.132034,-212.132034,j,1.966782,61.465200
11,1,ERP,IMG,Stimuli/Fractals/36a.jpg,0.000000,300.000000,f,1.166898,65.714833
12,1,OLP,IMG,Stimuli/Fractals/67c.jpg,-212.132034,-212.132034,j,1.565749,71.164315
13,2,ERP,IMG,Stimuli/Fractals/36a.jpg,0.000000,300.000000,f,1.116183,75.764285
14,2,ERP,IMG,Stimuli/Fractals/86b.jpg,-212.132034,-212.132034,f,1.666502,79.831371
15,2,LLP,IMG,Stimuli/Fractals/77c.jpg,300.000000,0.000000,j,2.283803,83.998223
16,1,LLP,IMG,Stimuli/Fractals/45a.jpg,-212.132034,-212.132034,f,1.749257,87.514034
17,2,OLP,IMG,Stimuli/Fractals/67b.jpg,-212.132034,-212.132034,j,2.449380,94.263984
18,1,OLP,IMG,Stimuli/Fractals/83b.jpg,0.000000,300.000000,f,1.250520,100.114221
19,2,LLP,IMG,Stimuli/Fractals/45a.jpg,-300.000000,0.000000,f,1.683448,104.580367
20,2,OLP,IMG,Stimuli/Fractals/83a.jpg,0.000000,300.000000,f,1.366302,109.313702
21,0,BL,IMG,Stimuli/Fractals/124b.jpg,212.132034,212.132034,f,2.533257,118.530651
22,1,ERP,IMG,Stimuli/Fractals/96a.jpg,-300.000000,0.000000,f,1.200781,121.247338
23,1,LLP,IMG,Stimuli/Fractals/84a.jpg,212.132034,-212.132034,f,1.249612,126.346690
24,1,ERP,IMG,Stimuli/Fractals/115a.jpg,212.132034,-212.132034,f,1.583787,130.730499
