TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,triggers,start_enc_run_text.started,start_enc_run_text.stopped,loop_start_time,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,trial_start_time,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,ID,practice,date,expName,psychopyVersion,frameRate,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.148617300000296,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.648544200000288,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.898541900000055,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.114064100000178,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3485914000002595,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5985545000003185,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.798545200000262,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.048544299999776,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.99264330000005,None,67.99264330000005,None,None,67.99264330000005,None,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.281807299999855,,,,8.08070669999961,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49875559999964,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.764240200000131,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94828299999972,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.198822199999995,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.414236999999957,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.664234599999872,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.881811199999902,,,,,,,,,,,,,,,,,,,,,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.94258179999997,None,70.94258179999997,None,None,70.94258179999997,None,14.103833600000144,14.13064250000025,76.99245919999976,None,76.99245919999976,None,None,76.99245919999976,None,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
3.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/25c.jpg,0.390625,0.4166666666666667,stimuli/fractals/25c.jpg,stimuli/fractals/25b.jpg,stimuli/fractals/25a.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.096711600000162,79.95901430000049,None,79.95901430000049,None,None,79.95901430000049,None,19.10391290000007,19.130707899999834,81.9923288,None,81.9923288,None,None,81.9923288,None,000000,0,2020_Sep_02_1559,TerKepEsz-Encoding_MR,2020.1.3,60.00340819377872,
