Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_trial_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.started,start_enc_run_trigger.stopped,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_trigger.keys,enc_fx_trigger.rt,enc_fx_trigger.started,enc_fx_trigger.stopped,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_trial_trigger.keys,enc_trial_trigger.rt,enc_trial_trigger.started,enc_trial_trigger.stopped,enc_fx_key.rt,enc_trial_key.rt,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,start_enc_run_trigger.rt,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-0.2344,-0.4167,800,Encoding,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1123989000007,None,76.1123989000007,None,None,76.1123989000007,None,76.9290374000011,None,76.9290374000011,None,None,76.9290374000011,None,79.94562770000266,None,79.94562770000266,None,79.94562770000266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.92893360000016,None,80.92893360000016,None,None,80.92893360000016,None,82.44555780000155,None,82.44555780000155,None,None,82.44555780000155,None,85.46215040000243,None,85.46215040000243,None,85.46215040000243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.44545030000154,None,d,1.6558026000020618,87.42876270000124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,OLP,1.0,stimuli/fractals/131c.jpg,-0.234375,0.1388888888888889,2000.0,,1.0,1.0,3.0,stimuli/fractals/131c.jpg,stimuli/fractals/131b.jpg,stimuli/fractals/131a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.42876270000124,None,89.11207320000176,None,['s'],[1.5160993000026792],89.11207320000176,None,75.23748610000257,1168.6027176997122,90.6453911000026,None,None,90.6453911000026,None,3.024143099999492,93.67860780000046,None,93.67860780000046,None,None,93.67860780000046,None,s,1.755717600000935,93.67860780000046,None,5.057998999996926,95.71212310000192,None,95.71212310000192,None,None,95.71212310000192,None,s,1.827130900001066,95.71212310000192,None,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,OLP,1.0,stimuli/fractals/72b.jpg,-0.078125,0.4166666666666667,6000.0,,2.0,1.0,3.0,stimuli/fractals/72b.jpg,stimuli/fractals/72a.jpg,stimuli/fractals/72c.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5982.9512396990685,,,,,,8.04523689999769,98.69515859999956,None,98.69515859999956,None,c,98.69515859999956,None,s,5.179862100001628,98.69515859999956,None,14.060262399998464,104.71168680000119,None,104.71168680000119,None,c,104.71168680000119,None,s,1.4106619999984105,104.71168680000119,None,0.48515390000102343,0.7165279000000737,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,LLP,1.0,stimuli/fractals/41b.jpg,0.390625,0.4166666666666667,2000.0,,3.0,1.0,5.0,stimuli/fractals/41b.jpg,stimuli/fractals/41a.jpg,stimuli/fractals/41c.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7259.114211698958,,,,,,17.06207169999834,107.71162380000169,None,107.71162380000169,None,c,107.71162380000169,None,s,0.8186712999995507,107.71162380000169,None,19.072571999997308,109.72824179999952,None,109.72824179999952,None,None,109.72824179999952,None,None,,109.72824179999952,None,1.948761599996942,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,ERP,1.0,stimuli/fractals/115a.jpg,0.078125,0.4166666666666667,1000.0,,4.0,1.0,2.0,stimuli/fractals/115a.jpg,stimuli/fractals/115b.jpg,stimuli/fractals/115c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.82825390000289,None,['s'],[1.8800420000006852],119.82825390000289,None,106.31966319999992,549.8193655001378,121.7282109000007,None,s,121.7282109000007,None,3.0277850000020408,124.76146100000187,None,124.76146100000187,None,None,124.76146100000187,None,s,0.7615132999999332,124.76146100000187,None,4.046646300001157,125.7947548000011,None,125.7947548000011,None,c,125.7947548000011,None,s,1.615727100001095,125.7947548000011,None,,1.1378049000013561,112.72816610000154,None,d,2.0844379999980447,117.72816650000095,None,117.72816650000095,None,2.412024299999757,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,OLP,2.0,stimuli/fractals/131b.jpg,-0.234375,0.1388888888888889,5000.0,,5.0,1.0,0.0,stimuli/fractals/131c.jpg,stimuli/fractals/131b.jpg,stimuli/fractals/131a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3849.6453594004015,,,,,,7.062906099999964,128.79468629999974,None,128.79468629999974,None,b,128.79468629999974,None,s,4.08801510000194,128.79468629999974,None,12.072344500000327,133.8108592000026,None,133.8108592000026,None,b,133.8108592000026,None,s,2.3596419999994396,133.8108592000026,None,1.297547600002872,0.41759799999999814,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,OLP,2.0,stimuli/fractals/72a.jpg,-0.078125,0.4166666666666667,3000.0,,6.0,1.0,0.0,stimuli/fractals/72b.jpg,stimuli/fractals/72a.jpg,stimuli/fractals/72c.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9152.584315000695,,,,,,15.078305300001375,136.81078750000233,None,136.81078750000233,None,None,136.81078750000233,None,s,2.191785600000003,136.81078750000233,None,18.092190400002437,139.82738260000042,None,139.82738260000042,None,b,139.82738260000042,None,s,2.423708500002249,139.82738260000042,None,,0.5209766000007221,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.82736040000236,None,d,1.4168733999977121,147.82722289999947,None,147.82722289999947,None,,,,,,,,,
