TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,TASK,enc_full_practice.thisRepN,enc_full_practice.thisTrialN,enc_full_practice.thisN,enc_full_practice.thisIndex,rec_full_practice.thisRepN,rec_full_practice.thisTrialN,rec_full_practice.thisN,rec_full_practice.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,welcome_image.started,welcome_image.stopped,welcome_text.started,welcome_text.stopped,general_instructions_text.started,general_instructions_text.stopped,general_instructions_key.keys,general_instructions_key.rt,general_instructions_key.started,general_instructions_key.stopped,general_instructions_continue.started,general_instructions_continue.stopped,general_instructions_4_key.keys,general_instructions_4_key.rt,general_instructions_4_key.started,general_instructions_4_key.stopped,general_instructions_4_continue.started,general_instructions_4_continue.stopped,general_instructions_4_text.started,general_instructions_4_text.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_interior_practice.started,enc_fx_interior_practice.stopped,enc_fx_cross_practice.started,enc_fx_cross_practice.stopped,enc_fx_key_practice.keys,enc_fx_key_practice.started,enc_fx_key_practice.stopped,enc_fx_text_block_practice.started,enc_fx_text_block_practice.stopped,enc_fx_instructions_text_practice.started,enc_fx_instructions_text_practice.stopped,enc_trial_interior_practice.started,enc_trial_interior_practice.stopped,enc_trial_main_image_practice.started,enc_trial_main_image_practice.stopped,enc_trial_key_practice.keys,enc_trial_key_practice.started,enc_trial_key_practice.stopped,enc_trial_text_block_practice.started,enc_trial_text_block_practice.stopped,enc_trial_instructions_text_practice.started,enc_trial_instructions_text_practice.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_feedback_block.started,enc_practice_feedback_block.stopped,start_recognition_text.started,start_recognition_text.stopped,block_title_text.started,block_title_text.stopped,rec_fx_interior_practice.started,rec_fx_interior_practice.stopped,rec_fx_cross_practice.started,rec_fx_cross_practice.stopped,rec_fx_key_practice.keys,rec_fx_key_practice.started,rec_fx_key_practice.stopped,rec_fx_text_block_practice.started,rec_fx_text_block_practice.stopped,rec_fx_instructions_text_practice.started,rec_fx_instructions_text_practice.stopped,rec_trial_interior_practice.started,rec_trial_interior_practice.stopped,rec_trial_main_image_practice.started,rec_trial_main_image_practice.stopped,rec_trial_key_practice.keys,rec_trial_key_practice.started,rec_trial_key_practice.stopped,rec_trial_text_block_practice.started,rec_trial_text_block_practice.stopped,rec_trial_instructions_text_practice.started,rec_trial_instructions_text_practice.stopped,rec_practice_feedback_text.started,rec_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,coming_up_next_text.started,coming_up_next_text.stopped,wait_for_last_scan_text.started,wait_for_last_scan_text.stopped,wait_for_last_scan_continue.keys,wait_for_last_scan_continue.rt,wait_for_last_scan_continue.started,wait_for_last_scan_continue.stopped,trigger_time,start_MR_text.started,start_MR_text.stopped,MR_trigger.keys,MR_trigger.rt,MR_trigger.started,MR_trigger.stopped,start_enc_run_text.started,start_enc_run_text.stopped,encoding_title_text.started,encoding_title_text.stopped,start_rec_block_text.started,start_rec_block_text.stopped,encoding_baseline_interior.started,encoding_baseline_interior.stopped,encoding_baseline_text_block.started,encoding_baseline_text_block.stopped,encoding_baseline_instructions_text.started,encoding_baseline_instructions_text.stopped,enc_loop_start_time,enc_fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_text_block.started,enc_fx_text_block.stopped,enc_fx_instructions_text.started,enc_fx_instructions_text.stopped,enc_trial_start_time,enc_stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_trial_text_block.started,enc_trial_text_block.stopped,enc_trial_instructions_text.started,enc_trial_instructions_text.stopped,ID,Session,Stimuli Table,Practice,date,expName,psychopyVersion,frameRate,
6,1000,1,1,OBJ,OLP,1,3,stimuli/fractals/152b.jpg,-0.171501696761146,-0.234477489583464,stimuli/fractals/152b.jpg,stimuli/fractals/152c.jpg,stimuli/fractals/152a.jpg,-0.171501696761146,-0.234477489583464,-0.38370149765821004,-0.2789553365142,-0.0838737682204294,0.302835284626838,0.356007650522016,0.364581944091473,ENC,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.14913820964284,284.2624123885762,None,284.2624123885762,None,None,284.2624123885762,None,284.2624123885762,None,284.2624123885762,None,46.14557035150938,46.152183529688045,285.26562522817403,None,285.26562522817403,None,None,285.26562522817403,None,285.26562522817403,None,285.26562522817403,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
7,2000,1,1,OBJ,OLP,2,0,stimuli/fractals/136b.jpg,0.0846478024186574,0.176247697779993,stimuli/fractals/136a.jpg,stimuli/fractals/136b.jpg,stimuli/fractals/136c.jpg,0.0846478024186574,0.176247697779993,0.27881536208095503,0.0111399149554564,0.282515861559336,-0.19795591034362198,-0.382647246154026,-0.161403316080168,ENC,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.16540578799322,288.2789396990556,None,288.2789396990556,None,None,288.2789396990556,None,288.2789396990556,None,288.2789396990556,None,51.17229714081623,51.17843721737154,290.29147932794876,None,290.29147932794876,None,None,290.29147932794876,None,290.29147932794876,None,290.29147932794876,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
8,4000,1,1,OBJ,ERP,2,0,stimuli/fractals/3c.jpg,0.376897355721593,0.0513077905058119,stimuli/fractals/3c.jpg,stimuli/fractals/3a.jpg,stimuli/fractals/3b.jpg,0.376897355721593,0.0513077905058119,0.182213392677702,-0.36440205954632393,0.30363366638760303,-0.37654943267435104,-0.21385133123199201,0.34437961361303193,ENC,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.18258499004878,293.2956002051942,None,293.2956002051942,None,None,293.2956002051942,None,293.2956002051942,None,293.2956002051942,None,58.17316163354553,58.18176455423236,297.2955013329629,None,297.2955013329629,None,None,297.2955013329629,None,297.2955013329629,None,297.2955013329629,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
9,2000,1,1,OBJ,ERP,2,0,stimuli/fractals/14c.jpg,-0.20591339026794103,0.156377605633925,stimuli/fractals/14c.jpg,stimuli/fractals/14b.jpg,stimuli/fractals/14a.jpg,-0.20591339026794103,0.156377605633925,-0.36194841734001504,-0.338630657507241,-0.128003571669689,-0.35038629997911797,0.330339150084164,0.0561419981062496,ENC,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1819635797292,300.2954997960478,None,300.2954997960478,None,None,300.2954997960478,None,300.2954997960478,None,300.2954997960478,None,63.17303970805369,63.182003538589925,302.2954390894156,None,302.2954390894156,None,None,302.2954390894156,None,302.2954390894156,None,302.2954390894156,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
10,6000,1,1,OBJ,OLP,2,0,stimuli/fractals/152c.jpg,-0.171501696761146,-0.234477489583464,stimuli/fractals/152b.jpg,stimuli/fractals/152c.jpg,stimuli/fractals/152a.jpg,-0.171501696761146,-0.234477489583464,-0.38370149765821004,-0.2789553365142,-0.0838737682204294,0.302835284626838,0.356007650522016,0.364581944091473,ENC,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.18220410076901,305.295439601643,None,305.295439601643,None,None,305.295439601643,None,305.295439601643,None,305.295439601643,None,72.18030119198374,72.19449065765366,311.3077381972689,None,311.3077381972689,None,None,311.3077381972689,None,311.3077381972689,None,311.3077381972689,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
11,3000,1,1,OBJ,OLP,2,0,stimuli/fractals/122b.jpg,0.269051094819113,0.000287426531222408,stimuli/fractals/122c.jpg,stimuli/fractals/122b.jpg,stimuli/fractals/122a.jpg,0.269051094819113,0.000287426531222408,0.307804810253768,-0.406703573446646,-0.0386388400685433,-0.0295717635171729,-0.37977273723814203,-0.29785786265235303,ENC,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.19858617638238,314.3120073832106,None,314.3120073832106,None,None,314.3120073832106,None,314.3120073832106,None,314.3120073832106,None,78.21701537119225,78.22773943701759,317.3410507570952,None,317.3410507570952,None,None,317.3410507570952,None,317.3410507570952,None,317.3410507570952,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
12,2000,1,1,OBJ,ERP,1,4,stimuli/fractals/115b.jpg,-0.38041157120891794,-0.0346713547780233,stimuli/fractals/115b.jpg,stimuli/fractals/115a.jpg,stimuli/fractals/115c.jpg,-0.38041157120891794,-0.0346713547780233,-0.125804258327099,-0.19425055276826697,-0.0612254088749184,0.0707338448656324,0.302672407064961,0.39678615142758794,ENC,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.21488526067697,320.32859360729344,None,320.32859360729344,None,None,320.32859360729344,None,320.32859360729344,None,320.32859360729344,None,83.22806064411998,83.23496864642948,322.3483729476575,None,322.3483729476575,None,None,322.3483729476575,None,322.3483729476575,None,322.3483729476575,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
13,3000,1,1,OBJ,OLP,1,2,stimuli/fractals/133c.jpg,0.0055760276359743295,0.408717785705827,stimuli/fractals/133c.jpg,stimuli/fractals/133a.jpg,stimuli/fractals/133b.jpg,0.0055760276359743295,0.408717785705827,-0.21528856086430803,0.0671398857376904,0.20940797832040303,0.00958268889866081,0.23801143420985502,-0.358024705676253,ENC,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.23212696239352,325.34523131651804,None,325.34523131651804,None,None,325.34523131651804,None,325.34523131651804,None,325.34523131651804,None,89.24056441267021,89.2473112992011,328.3603298445232,None,328.3603298445232,None,None,328.3603298445232,None,328.3603298445232,None,328.3603298445232,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
14,1000,1,1,OBJ,ERP,1,3,stimuli/fractals/42c.jpg,0.0140701477216217,-0.03292996494954201,stimuli/fractals/42c.jpg,stimuli/fractals/42a.jpg,stimuli/fractals/42b.jpg,0.0140701477216217,-0.03292996494954201,0.20815430673080604,0.258327804033483,-0.24956510104059196,0.165151776159607,-0.38619344631357394,0.40605783914732,ENC,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.24841656931676,331.3617821924854,None,331.3617821924854,None,None,331.3617821924854,None,331.3617821924854,None,331.3617821924854,None,93.25807762914337,93.26446283748373,332.37784024327993,None,332.37784024327993,None,None,332.37784024327993,None,332.37784024327993,None,332.37784024327993,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
15,2000,1,1,OBJ,OLP,1,4,stimuli/fractals/124b.jpg,-0.238022544470912,0.0788151826229348,stimuli/fractals/124b.jpg,stimuli/fractals/124a.jpg,stimuli/fractals/124c.jpg,-0.238022544470912,0.0788151826229348,-0.347788732149459,-0.339472141206795,-0.36646970032316706,-0.341527108858412,0.317561497525634,0.22832762009158203,ENC,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.26465212949552,335.37839556788094,None,335.37839556788094,None,None,335.37839556788094,None,335.37839556788094,None,335.37839556788094,None,98.27645559469238,98.28269505593926,337.3960965394508,None,337.3960965394508,None,None,337.3960965394508,None,337.3960965394508,None,337.3960965394508,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
