TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,triggers,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,start_enc_run_text.started,start_enc_run_text.stopped,loop_start_time,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.rt,enc_fx_key.started,enc_fx_key.stopped,trial_start_time,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,ID,practice,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.19082669999989,None,23.69277030000012,None,23.69277030000012,None,d,0.7015315000007831,28.659300799999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.659300799999983,None,29.37586370000099,None,29.37586370000099,None,d,1.583437799999956,34.35919859999922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.35919859999922,None,35.95908430000054,None,d,1.0999554999998509,40.92563329999939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.92563329999939,None,42.04233899999963,None,43.06558220000079,None,d,1.5175198999986605,44.060270500000115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.060270500000115,None,34.26692460000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/22c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.59204909999971,None,['s'],[10.850067399998807],45.59204909999971,None,34.26766189999944,56.45999149999989,None,3.0516630000001896,3.055629600001339,59.49835130000065,None,59.49835130000065,None,c,1.3277403000010963,59.49835130000065,None,5.349265400000149,5.4096386000001075,61.85231380000005,None,61.85231380000005,None,None,61.85231380000005,None,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/77a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.082449300000007,64.52514809999957,None,64.52514809999957,None,None,,64.52514809999957,None,14.361274600001707,14.415964800000438,70.85862169999928,None,70.85862169999928,None,None,70.85862169999928,None,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
3.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/106b.jpg,0.390625,0.4166666666666667,stimuli/fractals/106b.jpg,stimuli/fractals/106c.jpg,stimuli/fractals/106a.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.098595600000408,73.54128470000069,None,73.54128470000069,None,None,,73.54128470000069,None,19.403213100000357,19.454946100000598,75.89756359999956,None,75.89756359999956,None,None,75.89756359999956,None,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.23161330000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.55779269999948,None,d,0.6984948999997869,83.5426864000001,None,83.5426864000001,None,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
4.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/105a.jpg,0.078125,0.4166666666666667,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,stimuli/fractals/105c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.116180000000895,84.25771139999961,None,['s'],[3.416767999999138],84.25771139999961,None,65.49973580000005,87.69101890000093,None,3.078294900000401,3.0806458000006387,90.75543429999925,None,90.75543429999925,None,None,,90.75543429999925,None,4.2949344999997265,4.347538399999394,,,,,,,,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
4.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/105a.jpg,0.078125,0.4166666666666667,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,stimuli/fractals/105c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02227210000092,None,92.02227210000092,None,None,92.02227210000092,None,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
5.0,5000.0,1.0,OLP,2.0,0.0,stimuli/fractals/22a.jpg,-0.234375,0.1388888888888889,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.749222099999315,,,,,,,,,,,7.099380600000586,94.77415979999932,None,94.77415979999932,None,None,,94.77415979999932,None,12.403133699999671,12.457478100001026,,,,,,,,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
5.0,5000.0,1.0,OLP,2.0,0.0,stimuli/fractals/22a.jpg,-0.234375,0.1388888888888889,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.13222730000052,None,100.13222730000052,None,None,100.13222730000052,None,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
6.0,3000.0,1.0,OLP,2.0,0.0,stimuli/fractals/77c.jpg,-0.078125,0.4166666666666667,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.115822499999922,102.79061779999938,None,102.79061779999938,None,None,,102.79061779999938,None,18.372558500001105,18.42274709999947,106.09748880000006,None,106.09748880000006,None,None,106.09748880000006,None,,,,,,,,,container,0,2020_Sep_01_1356,TerKepEsz-Encoding_MR,2020.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.80707620000067,None,d,9.41639319999922,113.79064859999926,None,113.79064859999926,None,,,,,,,
