,Xcoordinate,Ycoordinate,"Fill",Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Lure1_Distance,Lure1_Index,Lure2_Distance,Lure2_Index,Foil_Distance,Foil_Index
0,300.0,0.0,"",274.06363730000004,-122.0209929,280.07412789999995,107.51038490000002,-298.3565686,-31.35853898,-8,112,7,7,62,62
1,299.5888604,15.70078687,"",251.6011704,163.3917105,233.1437884,-188.79611730000002,-299.5888604,-15.70078687,10,11,-14,107,60,61
2,298.3565686,31.35853898,"",188.79611730000002,-233.1437884,200.7391819,222.94344759999998,-298.3565686,-31.35853898,-19,103,14,16,60,62
3,296.3065022,46.93033951,"",293.4442802,-62.37350725,298.3565686,-31.35853898,-293.4442802,-62.37350725,-7,116,-5,118,61,64
4,293.4442802,62.37350725,"",222.94344759999998,200.7391819,267.3019573,-136.1971499,-289.7777479,-77.64571353,10,14,-13,111,61,65
5,289.7777479,77.64571353,"",176.3355757,242.7050983,259.8076211,150.0,-293.4442802,-62.37350725,13,18,5,10,59,64
6,285.3169549,92.70509831,"",289.7777479,-77.64571353,233.1437884,188.79611730000002,-289.7777479,-77.64571353,-11,115,7,13,59,65
7,280.07412789999995,107.51038490000002,"",242.7050983,-176.3355757,299.5888604,15.70078687,-280.07412789999995,-107.51038490000002,-19,108,-6,1,60,67
8,274.06363730000004,122.0209929,"",300.0,0.0,285.3169549,-92.70509831,-259.8076211,-150.0,-8,0,-14,114,62,70
9,267.3019573,136.1971499,"",122.0209929,274.06363730000004,77.64571353,289.7777479,-251.6011704,-163.3917105,13,22,16,25,62,71
10,259.8076211,150.0,"",285.3169549,-92.70509831,259.8076211,-150.0,-251.6011704,-163.3917105,-16,114,-20,110,61,71
11,251.6011704,163.3917105,"",150.0,259.8076211,299.5888604,-15.70078687,-251.6011704,-163.3917105,9,20,-12,119,60,71
12,242.7050983,176.3355757,"",92.70509831,285.3169549,107.51038490000002,280.07412789999995,-222.94344759999998,-200.7391819,12,24,11,23,62,74
13,233.1437884,188.79611730000002,"",280.07412789999995,107.51038490000002,298.3565686,-31.35853898,-251.6011704,-163.3917105,-6,7,-15,118,58,71
14,222.94344759999998,200.7391819,"",285.3169549,92.70509831,285.3169549,-92.70509831,-242.7050983,-176.3355757,-8,6,-20,114,58,72
15,212.1320344,212.1320344,"",-77.64571353,289.7777479,296.3065022,-46.93033951,-233.1437884,-188.79611730000002,20,35,-18,117,58,73
16,200.7391819,222.94344759999998,"",300.0,0.0,92.70509831,285.3169549,-176.3355757,-242.7050983,-16,0,8,24,62,78
17,188.79611730000002,233.1437884,"",-92.70509831,285.3169549,274.06363730000004,122.0209929,-188.79611730000002,-233.1437884,19,36,-9,8,60,77
18,176.3355757,242.7050983,"",274.06363730000004,122.0209929,296.3065022,46.93033951,-200.7391819,-222.94344759999998,-10,8,-15,3,58,76
19,163.3917105,251.6011704,"",-107.51038490000002,280.07412789999995,300.0,0.0,-163.3917105,-251.6011704,18,37,-19,0,60,79
20,150.0,259.8076211,"",1.84e-14,300.0,280.07412789999995,107.51038490000002,-136.1971499,-267.3019573,10,30,-13,7,61,81
21,136.1971499,267.3019573,"",-62.37350725,293.4442802,-77.64571353,289.7777479,-136.1971499,-267.3019573,13,34,14,35,60,81
22,122.0209929,274.06363730000004,"",242.7050983,176.3355757,-92.70509831,285.3169549,-122.0209929,-274.06363730000004,-10,12,14,36,60,82
23,107.51038490000002,280.07412789999995,"",274.06363730000004,122.0209929,-92.70509831,285.3169549,-77.64571353,-289.7777479,-15,8,13,36,62,85
24,92.70509831,285.3169549,"",-46.93033951,296.3065022,-200.7391819,222.94344759999998,-77.64571353,-289.7777479,9,33,20,44,61,85
25,77.64571353,289.7777479,"",-77.64571353,289.7777479,-15.70078687,299.5888604,-107.51038490000002,-280.07412789999995,10,35,6,31,58,83
26,62.37350725,293.4442802,"",233.1437884,188.79611730000002,267.3019573,136.1971499,-77.64571353,-289.7777479,-13,13,-17,9,59,85
27,46.93033951,296.3065022,"",-31.35853898,298.3565686,122.0209929,274.06363730000004,-15.70078687,-299.5888604,5,32,-5,22,62,89
28,31.35853898,298.3565686,"",150.0,259.8076211,-163.3917105,251.6011704,-5.51e-14,-300.0,-8,20,13,41,62,90
29,15.70078687,299.5888604,"",122.0209929,274.06363730000004,-92.70509831,285.3169549,-5.51e-14,-300.0,-7,22,7,36,61,90
30,1.84e-14,300.0,"",122.0209929,274.06363730000004,242.7050983,176.3355757,-5.51e-14,-300.0,-8,22,-18,12,60,90
31,-15.70078687,299.5888604,"",176.3355757,242.7050983,-259.8076211,150.0,46.93033951,-296.3065022,-13,18,19,50,62,93
32,-31.35853898,298.3565686,"",122.0209929,274.06363730000004,122.0209929,274.06363730000004,-5.51e-14,-300.0,-10,22,-10,22,58,90
33,-46.93033951,296.3065022,"",-267.3019573,136.1971499,107.51038490000002,280.07412789999995,31.35853898,-298.3565686,18,51,-10,23,59,92
