TrialIndex	StimType	Order	Delay	ScannerRun	TripletMemberA	TripletMemberB	TripletMemberC	Xcoordinate	Ycoordinate	Xcoordinate_lure1	Ycoordinate_lure1	Xcoordinate_lure2	Ycoordinate_lure2	Xcoordinate_foil	Ycoordinate_foil	Fill
1	OLP	1	6	1				300	0	200.739181907657	222.943447643218	285.316954888546	107.51038486359	-300	3.67394039744206E-14
2	ERP	1	6	1				299.588860426372	15.7007868728831	233.143788437091	200.739181907657	222.943447643218	-188.796117314951	-299.588860426372	-15.7007868728831
3	LLP	1	8	1				298.356568610482	31.358538980296	233.143788437091	188.796117314951	280.074127949161	-92.7050983124843	-298.356568610482	-31.3585389802959
4	OLP	1	2	1				296.306502178541	46.9303395120693	222.943447643218	-188.796117314951	242.705098312484	188.796117314951	-296.306502178541	-46.9303395120692
5	LLP	1	8	1				293.444280220142	62.3735072453278	233.143788437091	200.739181907657	150	267.30195725651	-293.444280220142	-62.3735072453277
6	ERP	1	4	1				289.77774788672	77.6457135307562	212.132034355964	222.943447643218	259.807621135331	163.391710504508	-289.777747886721	-77.6457135307561
7	OLP	2	0	1				296.306502178541	46.9303395120693	222.943447643218	-188.796117314951	242.705098312484	188.796117314951	-296.306502178541	-46.9303395120692
8	OLP	2	0	1				300	0	200.739181907657	222.943447643218	285.316954888546	107.51038486359	-300	3.67394039744206E-14
9	ERP	2	0	1				299.588860426372	15.7007868728831	233.143788437091	200.739181907657	222.943447643218	-188.796117314951	-299.588860426372	-15.7007868728831
10	ERP	1	4	1				285.316954888546	92.7050983124842	188.796117314951	233.143788437091	92.7050983124842	-280.074127949161	-285.316954888546	-92.7050983124842
11	ERP	2	0	1				289.77774788672	77.6457135307562	212.132034355964	222.943447643218	259.807621135331	163.391710504508	-289.777747886721	-77.6457135307561
12	LLP	2	0	1				298.356568610482	31.358538980296	233.143788437091	188.796117314951	280.074127949161	-92.7050983124843	-298.356568610482	-31.3585389802959
13	LLP	1	2	1				280.074127949161	107.51038486359	62.3735072453278	293.444280220142	163.391710504508	-242.705098312484	-280.074127949161	-107.51038486359
14	LLP	2	0	1				293.444280220142	62.3735072453278	233.143788437091	200.739181907657	150	267.30195725651	-293.444280220142	-62.3735072453277
15	ERP	2	0	1				285.316954888546	92.7050983124842	188.796117314951	233.143788437091	92.7050983124842	-280.074127949161	-285.316954888546	-92.7050983124842
16	LLP	2	0	1				280.074127949161	107.51038486359	62.3735072453278	293.444280220142	163.391710504508	-242.705098312484	-280.074127949161	-107.51038486359
17	BL	0	0	1				274.06363729278	122.02099292274						
18	OLP	1	8	1				267.30195725651	136.197149921864	212.132034355964	222.943447643218	188.796117314951	-233.143788437091	-267.30195725651	-136.197149921864
19	LLP	1	2	1				259.807621135332	150	200.739181907657	222.943447643218	176.335575687742	-242.705098312484	-259.807621135332	-150
20	ERP	1	4	1				251.601170383627	163.391710504508	150	259.807621135332	212.132034355964	-212.132034355964	-251.601170383627	-163.391710504508
21	OLP	1	8	1				242.705098312484	176.335575687742	188.796117314951	233.143788437091	-5.51091059616309E-14	-300	-242.705098312484	-176.335575687742
22	LLP	2	0	1				259.807621135332	150	200.739181907657	222.943447643218	176.335575687742	-242.705098312484	-259.807621135332	-150
23	LLP	1	4	1				233.143788437091	188.796117314951	150	267.30195725651	136.197149921864	267.30195725651	-233.143788437091	-188.796117314951
24	ERP	1	6	1				222.943447643218	200.739181907657	31.3585389802959	-298.356568610482	150	259.807621135332	-222.943447643218	-200.739181907657
25	ERP	2	0	1				251.601170383627	163.391710504508	150	259.807621135332	212.132034355964	-212.132034355964	-251.601170383627	-163.391710504508
26	OLP	1	6	1				212.132034355964	212.132034355964	136.197149921864	-267.30195725651	-46.9303395120692	296.306502178541	-212.132034355964	-212.132034355964
27	OLP	2	0	1				267.30195725651	136.197149921864	212.132034355964	222.943447643218	188.796117314951	-233.143788437091	-267.30195725651	-136.197149921864
28	LLP	2	0	1				233.143788437091	188.796117314951	150	267.30195725651	136.197149921864	267.30195725651	-233.143788437091	-188.796117314951
29	LLP	1	2	1				200.739181907657	222.943447643218	46.9303395120692	298.356568610482	1.83697019872103E-14	300	-200.739181907658	-222.943447643218
30	OLP	2	0	1				242.705098312484	176.335575687742	188.796117314951	233.143788437091	-5.51091059616309E-14	-300	-242.705098312484	-176.335575687742
31	ERP	2	0	1				222.943447643218	200.739181907657	31.3585389802959	-298.356568610482	150	259.807621135332	-222.943447643218	-200.739181907657
32	LLP	2	0	1				200.739181907657	222.943447643218	46.9303395120692	298.356568610482	1.83697019872103E-14	300	-200.739181907658	-222.943447643218
33	OLP	2	0	1				212.132034355964	212.132034355964	136.197149921864	-267.30195725651	-46.9303395120692	296.306502178541	-212.132034355964	-212.132034355964
34	BL	0	0	1				274.06363729278	122.02099292274						
35	ERP	1	2	1				188.796117314951	233.143788437091	92.7050983124842	285.316954888546	62.3735072453278	-289.777747886721	-188.796117314951	-233.143788437091
36	LLP	1	6	1				176.335575687742	242.705098312484	-77.6457135307565	285.316954888546	-15.7007868728833	-299.588860426372	-176.335575687742	-242.705098312484
37	LLP	1	6	1				163.391710504508	251.601170383627	-92.7050983124842	285.316954888546	-31.3585389802963	-298.356568610482	-163.391710504508	-251.601170383627
38	ERP	2	0	1				188.796117314951	233.143788437091	92.7050983124842	285.316954888546	62.3735072453278	-289.777747886721	-188.796117314951	-233.143788437091
39	ERP	1	8	1				150	259.807621135332	31.3585389802959	299.588860426372	15.7007868728829	300	-150	-259.807621135332
