,Unnamed: 0,TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
0,0,1,LLP,1,2,1,,,,300.0,0.0,222.943447643218,200.739181907657,212.132034355964,212.132034355964,222.943447643218,200.739181907657,
1,1,2,ERP,1,2,1,,,,299.588860426372,15.7007868728831,280.074127949161,107.51038486359,242.705098312484,176.335575687742,280.074127949161,107.51038486359,
2,2,3,LLP,1,5,1,,,,298.356568610482,31.358538980296,212.132034355964,212.132034355964,222.943447643218,200.739181907657,212.132034355964,212.132034355964,
3,3,4,LLP,2,0,1,,,,300.0,0.0,222.943447643218,200.739181907657,212.132034355964,212.132034355964,222.943447643218,200.739181907657,
4,4,5,ERP,2,0,1,,,,299.588860426372,15.7007868728831,280.074127949161,107.51038486359,242.705098312484,176.335575687742,280.074127949161,107.51038486359,
5,5,6,OLP,1,8,1,,,,296.306502178541,46.9303395120693,188.79611731495098,233.143788437091,251.60117038362702,163.391710504508,188.79611731495098,233.143788437091,
6,6,7,LLP,1,4,1,,,,293.444280220142,62.37350724532779,299.588860426372,-15.7007868728833,212.132034355964,212.132034355964,299.588860426372,-15.7007868728833,
7,7,8,OLP,1,8,1,,,,289.77774788672,77.64571353075621,280.07412794916,-107.51038486359,212.132034355964,212.132034355964,280.07412794916,-107.51038486359,
8,8,9,LLP,2,0,1,,,,298.356568610482,31.358538980296,212.132034355964,212.132034355964,222.943447643218,200.739181907657,212.132034355964,212.132034355964,
9,9,10,OLP,1,5,1,,,,285.316954888546,92.70509831248421,299.588860426372,15.7007868728831,274.06363729278,-122.02099292273998,299.588860426372,15.7007868728831,
10,10,11,OLP,1,6,1,,,,280.074127949161,107.51038486359,274.06363729278,-122.02099292273998,233.143788437091,188.79611731495098,274.06363729278,-122.02099292273998,
11,11,12,LLP,2,0,1,,,,293.444280220142,62.37350724532779,299.588860426372,-15.7007868728833,212.132034355964,212.132034355964,299.588860426372,-15.7007868728833,
12,12,13,OLP,1,6,1,,,,274.06363729278,122.02099292273998,296.306502178541,-46.9303395120693,136.197149921864,267.30195725651004,296.306502178541,-46.9303395120693,
13,13,14,ERP,1,4,1,,,,267.30195725651004,136.197149921864,92.70509831248421,285.316954888546,242.705098312484,176.335575687742,92.70509831248421,285.316954888546,
14,14,15,OLP,2,0,1,,,,296.306502178541,46.9303395120693,188.79611731495098,233.143788437091,251.60117038362702,163.391710504508,188.79611731495098,233.143788437091,
15,15,16,OLP,2,0,1,,,,285.316954888546,92.70509831248421,299.588860426372,15.7007868728831,274.06363729278,-122.02099292273998,299.588860426372,15.7007868728831,
16,16,17,OLP,2,0,1,,,,289.77774788672,77.64571353075621,280.07412794916,-107.51038486359,212.132034355964,212.132034355964,280.07412794916,-107.51038486359,
17,17,18,OLP,2,0,1,,,,280.074127949161,107.51038486359,274.06363729278,-122.02099292273998,233.143788437091,188.79611731495098,274.06363729278,-122.02099292273998,
18,18,19,ERP,2,0,1,,,,267.30195725651004,136.197149921864,92.70509831248421,285.316954888546,242.705098312484,176.335575687742,92.70509831248421,285.316954888546,
19,19,20,OLP,2,0,1,,,,274.06363729278,122.02099292273998,296.306502178541,-46.9303395120693,136.197149921864,267.30195725651004,296.306502178541,-46.9303395120693,
20,20,21,BL,0,0,1,,,,259.8076211,150.0,,,,,,,
21,21,22,OLP,1,2,1,,,,259.807621135332,150.0,176.335575687742,242.705098312484,200.739181907657,222.943447643218,176.335575687742,242.705098312484,
22,22,23,OLP,1,6,1,,,,251.60117038362702,163.391710504508,176.335575687742,242.705098312484,200.739181907657,222.943447643218,176.335575687742,242.705098312484,
23,23,24,OLP,1,2,1,,,,242.705098312484,176.335575687742,285.316954888546,92.70509831248421,92.70509831248421,285.316954888546,285.316954888546,92.70509831248421,
24,24,25,OLP,2,0,1,,,,259.807621135332,150.0,176.335575687742,242.705098312484,200.739181907657,222.943447643218,176.335575687742,242.705098312484,
25,25,26,LLP,1,8,1,,,,233.143788437091,188.79611731495098,289.77774788672,77.64571353075621,296.306502178541,46.9303395120693,289.77774788672,77.64571353075621,
26,26,27,OLP,2,0,1,,,,242.705098312484,176.335575687742,285.316954888546,92.70509831248421,92.70509831248421,285.316954888546,285.316954888546,92.70509831248421,
27,27,28,LLP,1,4,1,,,,222.943447643218,200.739181907657,122.02099292273998,274.06363729278,296.306502178541,46.9303395120693,122.02099292273998,274.06363729278,
28,28,29,ERP,1,8,1,,,,212.132034355964,212.132034355964,267.30195725651004,136.197149921864,163.391710504508,251.60117038362702,267.30195725651004,136.197149921864,
29,29,30,OLP,2,0,1,,,,251.60117038362702,163.391710504508,176.335575687742,242.705098312484,200.739181907657,222.943447643218,176.335575687742,242.705098312484,
30,30,31,LLP,1,5,1,,,,200.739181907657,222.943447643218,1.83697019872103e-14,300.0,280.074127949161,107.51038486359,1.83697019872103e-14,300.0,
31,31,32,OLP,1,6,1,,,,188.79611731495098,233.143788437091,-31.358538980296,298.356568610482,107.51038486359,280.074127949161,-31.358538980296,298.356568610482,
32,32,33,LLP,2,0,1,,,,222.943447643218,200.739181907657,122.02099292273998,274.06363729278,296.306502178541,46.9303395120693,122.02099292273998,274.06363729278,
33,33,34,OLP,1,5,1,,,,176.335575687742,242.705098312484,-15.7007868728831,299.588860426372,267.30195725651004,136.197149921864,-15.7007868728831,299.588860426372,
