,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Lure1_Distance,Lure1_Index,Lure2_Distance,Lure2_Index,Foil_Distance,Foil_Index
0,300.0,0.0,251.60117038362702,-163.391710504508,251.60117038362702,-163.391710504508,251.60117038362702,-163.391710504508,-11,109,-3,117,60,60
1,299.588860426372,15.7007868728831,242.705098312484,-176.335575687742,242.705098312484,-176.335575687742,242.705098312484,-176.335575687742,-13,108,8,9,62,63
2,298.356568610482,31.358538980296,274.06363729278,122.02099292273998,274.06363729278,122.02099292273998,274.06363729278,122.02099292273998,6,8,-9,113,59,61
3,296.306502178541,46.9303395120693,188.79611731495098,233.143788437091,188.79611731495098,233.143788437091,188.79611731495098,233.143788437091,14,17,-3,0,61,64
4,293.444280220142,62.373507245327794,176.335575687742,242.705098312484,176.335575687742,242.705098312484,176.335575687742,242.705098312484,14,18,9,13,60,64
5,289.77774788672,77.64571353075621,200.739181907657,222.943447643218,200.739181907657,222.943447643218,200.739181907657,222.943447643218,11,16,-11,114,58,63
6,285.316954888546,92.70509831248421,298.356568610482,-31.358538980296302,298.356568610482,-31.358538980296302,298.356568610482,-31.358538980296302,-8,118,11,17,58,64
7,280.074127949161,107.51038486359,299.588860426372,15.7007868728831,299.588860426372,15.7007868728831,299.588860426372,15.7007868728831,-6,1,8,15,61,68
8,274.06363729278,122.02099292273998,200.739181907657,222.943447643218,200.739181907657,222.943447643218,200.739181907657,222.943447643218,8,16,-9,119,61,69
9,267.30195725651004,136.197149921864,285.316954888546,92.70509831248421,285.316954888546,92.70509831248421,285.316954888546,92.70509831248421,-3,6,-7,2,60,69
10,259.807621135332,150.0,296.306502178541,46.9303395120693,296.306502178541,46.9303395120693,296.306502178541,46.9303395120693,-7,3,-13,117,58,68
11,251.60117038362702,163.391710504508,296.306502178541,46.9303395120693,296.306502178541,46.9303395120693,296.306502178541,46.9303395120693,-8,3,-11,0,60,71
12,242.705098312484,176.335575687742,62.373507245327794,293.444280220142,62.373507245327794,293.444280220142,62.373507245327794,293.444280220142,14,26,15,27,60,72
13,233.143788437091,188.79611731495098,77.6457135307563,289.77774788672,77.6457135307563,289.77774788672,77.6457135307563,289.77774788672,12,25,-3,10,59,72
14,222.943447643218,200.739181907657,280.074127949161,107.51038486359,280.074127949161,107.51038486359,280.074127949161,107.51038486359,-7,7,-6,8,58,72
15,212.132034355964,212.132034355964,251.60117038362702,163.391710504508,251.60117038362702,163.391710504508,251.60117038362702,163.391710504508,-4,11,14,29,61,76
16,200.739181907657,222.943447643218,163.391710504508,251.60117038362702,163.391710504508,251.60117038362702,163.391710504508,251.60117038362702,3,19,-4,12,60,76
17,188.79611731495098,233.143788437091,233.143788437091,188.79611731495098,233.143788437091,188.79611731495098,233.143788437091,188.79611731495098,-4,13,-11,6,61,78
18,176.335575687742,242.705098312484,222.943447643218,200.739181907657,222.943447643218,200.739181907657,222.943447643218,200.739181907657,-4,14,-9,9,59,77
19,163.391710504508,251.60117038362702,15.700786872883198,299.588860426372,15.700786872883198,299.588860426372,15.700786872883198,299.588860426372,10,29,14,33,59,78
20,150.0,259.807621135332,274.06363729278,122.02099292273998,274.06363729278,122.02099292273998,274.06363729278,122.02099292273998,-12,8,-15,5,60,80
21,136.197149921864,267.30195725651004,62.373507245327794,293.444280220142,62.373507245327794,293.444280220142,62.373507245327794,293.444280220142,5,26,-6,15,62,83
22,122.02099292273998,274.06363729278,62.373507245327794,293.444280220142,62.373507245327794,293.444280220142,62.373507245327794,293.444280220142,4,26,-11,11,61,83
23,107.51038486359,280.074127949161,46.9303395120693,296.306502178541,46.9303395120693,296.306502178541,46.9303395120693,296.306502178541,4,27,7,30,61,84
24,92.70509831248421,285.316954888546,136.197149921864,267.30195725651004,136.197149921864,267.30195725651004,136.197149921864,267.30195725651004,-3,21,14,38,61,85
25,77.6457135307563,289.77774788672,150.0,259.807621135332,150.0,259.807621135332,150.0,259.807621135332,-5,20,10,35,58,83
26,62.373507245327794,293.444280220142,163.391710504508,251.60117038362702,163.391710504508,251.60117038362702,163.391710504508,251.60117038362702,-7,19,-13,13,62,88
27,46.9303395120693,296.306502178541,-176.335575687742,242.705098312484,-176.335575687742,242.705098312484,-176.335575687742,242.705098312484,15,42,15,42,61,88
28,31.358538980296103,298.356568610482,107.51038486359,280.074127949161,107.51038486359,280.074127949161,107.51038486359,280.074127949161,-5,23,-11,17,62,90
29,15.700786872883198,299.588860426372,-92.70509831248421,285.316954888546,-92.70509831248421,285.316954888546,-92.70509831248421,285.316954888546,7,36,-12,17,62,91
30,1.83697019872103e-14,300.0,46.9303395120693,296.306502178541,46.9303395120693,296.306502178541,46.9303395120693,296.306502178541,-3,27,9,39,58,88
31,-15.7007868728831,299.588860426372,188.79611731495098,233.143788437091,188.79611731495098,233.143788437091,188.79611731495098,233.143788437091,-14,17,-15,16,61,92
32,-31.358538980296,298.356568610482,-136.197149921864,267.30195725651004,-136.197149921864,267.30195725651004,-136.197149921864,267.30195725651004,7,39,-10,22,60,92
33,-46.9303395120692,296.306502178541,-212.132034355964,212.132034355964,-212.132034355964,212.132034355964,-212.132034355964,212.132034355964,12,45,-4,29,60,93
34,-62.3735072453277,293.444280220142,1.83697019872103e-14,300.0,1.83697019872103e-14,300.0,1.83697019872103e-14,300.0,-4,30,5,39,61,95
35,-77.64571353075621,289.77774788672,-259.807621135332,150.0,-259.807621135332,150.0,-259.807621135332,150.0,15,50,5,40,59,94
