TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
48,OLP,1,5,1,,,,77.64571353,289.7777479,1.84E-14,300,-46.93033951,296.3065022,-107.5103849,-280.0741279,0
49,LLP,2,0,1,,,,150,259.8076211,15.70078687,299.5888604,-15.70078687,299.5888604,-176.3355757,-242.7050983,0
50,OLP,1,6,1,,,,62.37350725,293.4442802,-15.70078687,299.5888604,-46.93033951,296.3065022,-92.70509831,-285.3169549,0
51,LLP,2,0,1,,,,107.5103849,280.0741279,242.7050983,176.3355757,242.7050983,176.3355757,-136.1971499,-267.3019573,0
52,ERP,2,0,1,,,,122.0209929,274.0636373,280.0741279,107.5103849,-46.93033951,296.3065022,-107.5103849,-280.0741279,0
53,OLP,2,0,1,,,,136.1971499,267.3019573,77.64571353,289.7777479,188.7961173,233.1437884,-163.3917105,-251.6011704,0
54,OLP,2,0,1,,,,77.64571353,289.7777479,1.84E-14,300,-46.93033951,296.3065022,-107.5103849,-280.0741279,0
55,ERP,1,4,1,,,,46.93033951,296.3065022,-150,259.8076211,-163.3917105,251.6011704,-15.70078687,-299.5888604,0
56,ERP,2,0,1,,,,92.70509831,285.3169549,242.7050983,176.3355757,222.9434476,200.7391819,-62.37350725,-293.4442802,0
57,OLP,2,0,1,,,,62.37350725,293.4442802,-15.70078687,299.5888604,-46.93033951,296.3065022,-92.70509831,-285.3169549,0
58,ERP,1,2,1,,,,31.35853898,298.3565686,-150,259.8076211,-31.35853898,298.3565686,-46.93033951,-296.3065022,0
59,OLP,1,2,1,,,,15.70078687,299.5888604,163.3917105,251.6011704,200.7391819,222.9434476,-15.70078687,-299.5888604,0
60,ERP,2,0,1,,,,46.93033951,296.3065022,-150,259.8076211,-163.3917105,251.6011704,-15.70078687,-299.5888604,0
61,ERP,2,0,1,,,,31.35853898,298.3565686,-150,259.8076211,-31.35853898,298.3565686,-46.93033951,-296.3065022,0
62,OLP,2,0,1,,,,15.70078687,299.5888604,163.3917105,251.6011704,200.7391819,222.9434476,-15.70078687,-299.5888604,0
63,BL,0,0,1,,,,259.8076211,150,,,,,,,0
64,OLP,1,4,1,,,,1.84E-14,300,-212.1320344,212.1320344,-136.1971499,267.3019573,-5.51E-14,-300,0
65,OLP,1,2,1,,,,-15.70078687,299.5888604,163.3917105,251.6011704,-200.7391819,222.9434476,15.70078687,-299.5888604,0
66,ERP,1,6,1,,,,-31.35853898,298.3565686,-176.3355757,242.7050983,31.35853898,298.3565686,-5.51E-14,-300,0
67,LLP,1,4,1,,,,-46.93033951,296.3065022,15.70078687,299.5888604,-136.1971499,267.3019573,62.37350725,-293.4442802,0
68,OLP,2,0,1,,,,-15.70078687,299.5888604,163.3917105,251.6011704,-200.7391819,222.9434476,15.70078687,-299.5888604,0
