TASK,TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
REC,66,1000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,67,1000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,68,1000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,69,1000,,,OBJ,TARGET,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,70,2000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,71,2000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,72,1000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,73,3000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,74,1000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,75,1000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,76,2000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,77,4000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,78,500,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,79,2000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,80,5000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,81,1000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,82,5000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,83,2000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,84,1000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,85,1000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,86,4000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,87,2000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,88,3000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,89,6000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,90,1000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,91,1000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,92,1000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,93,2000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,94,2000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,95,500,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,96,3000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,97,3000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,98,5000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,99,3000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,100,1000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,101,1000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,102,6000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,103,2000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,104,5000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,105,1000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,106,1000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,107,2000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,108,1000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,109,2000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,110,4000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,111,500,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,112,500,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,113,1000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,114,2000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,115,3000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,116,2000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,117,2000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,118,1000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,119,4000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,120,1000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,121,4000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,122,2000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,123,5000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,124,4000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,125,1000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,126,1000,,,LOC,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,127,3000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,128,2000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,129,1000,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,130,1000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,131,2000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,132,6000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,133,3000,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,134,2000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,135,1000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,136,5000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,137,2000,,,LOC,TARGET,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,138,3000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,139,1000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,140,2000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,141,1000,,,LOC,FOIL,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,142,1000,,,LOC,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,143,500,,,LOC,LURE,nan,,,,LLP,nan,,,,,,,,,,,,,
REC,144,500,,,LOC,FOIL,nan,,,,LLP,nan,,,,,,,,,,,,,
