TASK,TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
ENC,1,2000,1,1,OBJ,ERP,1,6,stimuli/fractals/77a.jpg,0.376897356,0.051307791,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,0.376897356,0.051307791,0.182213393,-0.36440206,0.303633666,-0.376549433,-0.213851331,0.344379614
ENC,2,3000,1,1,OBJ,OLP,1,4,stimuli/fractals/151b.jpg,0.084647802,0.176247698,stimuli/fractals/151b.jpg,stimuli/fractals/151a.jpg,stimuli/fractals/151c.jpg,0.084647802,0.176247698,0.278815362,0.011139915,0.282515862,-0.19795591,-0.382647246,-0.161403316
ENC,3,2000,1,1,OBJ,ERP,1,5,stimuli/fractals/133a.jpg,-0.20591339,0.156377606,stimuli/fractals/133a.jpg,stimuli/fractals/133c.jpg,stimuli/fractals/133b.jpg,-0.20591339,0.156377606,-0.361948417,-0.338630658,-0.128003572,-0.3503863,0.33033915,0.056141998
ENC,4,3000,1,1,OBJ,OLP,1,6,stimuli/fractals/89a.jpg,0.269051095,0.000287427,stimuli/fractals/89a.jpg,stimuli/fractals/89c.jpg,stimuli/fractals/89b.jpg,0.269051095,0.000287427,0.30780481,-0.406703573,-0.03863884,-0.029571764,-0.379772737,-0.297857863
ENC,5,1000,1,1,OBJ,BL,0,0,stimuli/fractals/75c.jpg,-0.152049015,0.402125425,stimuli/fractals/75c.jpg,stimuli/fractals/75b.jpg,stimuli/fractals/75a.jpg,-0.152049015,0.402125425,0.150226825,0.044687392,0.068943451,0.294584531,-0.3168508,-0.395129957
ENC,6,1000,1,1,OBJ,OLP,1,3,stimuli/fractals/49c.jpg,-0.171501697,-0.23447749,stimuli/fractals/49c.jpg,stimuli/fractals/49a.jpg,stimuli/fractals/49b.jpg,-0.171501697,-0.23447749,-0.383701498,-0.278955337,-0.083873768,0.302835285,0.356007651,0.364581944
ENC,7,1000,1,1,OBJ,OLP,2,0,stimuli/fractals/151a.jpg,0.084647802,0.176247698,stimuli/fractals/151b.jpg,stimuli/fractals/151a.jpg,stimuli/fractals/151c.jpg,0.084647802,0.176247698,0.278815362,0.011139915,0.282515862,-0.19795591,-0.382647246,-0.161403316
ENC,8,3000,1,1,OBJ,ERP,2,0,stimuli/fractals/77a.jpg,0.376897356,0.051307791,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,0.376897356,0.051307791,0.182213393,-0.36440206,0.303633666,-0.376549433,-0.213851331,0.344379614
ENC,9,1000,1,1,OBJ,ERP,2,0,stimuli/fractals/133a.jpg,-0.20591339,0.156377606,stimuli/fractals/133a.jpg,stimuli/fractals/133c.jpg,stimuli/fractals/133b.jpg,-0.20591339,0.156377606,-0.361948417,-0.338630658,-0.128003572,-0.3503863,0.33033915,0.056141998
ENC,10,2000,1,1,OBJ,OLP,2,0,stimuli/fractals/49a.jpg,-0.171501697,-0.23447749,stimuli/fractals/49c.jpg,stimuli/fractals/49a.jpg,stimuli/fractals/49b.jpg,-0.171501697,-0.23447749,-0.383701498,-0.278955337,-0.083873768,0.302835285,0.356007651,0.364581944
