TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,1000,,1,OBJ,TARGET,stimuli/fractals/66a.jpg,0.234375,-0.4166666666666667,1.0,OLP,stimuli/fractals/66a.jpg,0.234375,-0.4166666666666667,stimuli/fractals/66a.jpg,stimuli/fractals/66c.jpg,stimuli/fractals/66b.jpg,0.234375,-0.4166666666666667,-0.078125,-0.4166666666666667,0.234375,-0.1388888888888889,-0.234375,0.4166666666666667
2,2000,,1,OBJ,TARGET,stimuli/fractals/50c.jpg,-0.234375,0.1388888888888889,10.0,ERP,stimuli/fractals/50c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/50c.jpg,stimuli/fractals/50a.jpg,stimuli/fractals/50b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.390625,0.1388888888888889,0.390625,-0.4166666666666667
3,3000,,1,OBJ,TARGET,stimuli/fractals/39b.jpg,0.234375,0.4166666666666667,13.0,ERP,stimuli/fractals/39b.jpg,0.234375,0.4166666666666667,stimuli/fractals/39b.jpg,stimuli/fractals/39c.jpg,stimuli/fractals/39a.jpg,0.234375,0.4166666666666667,0.234375,0.1388888888888889,0.078125,0.4166666666666667,-0.234375,-0.4166666666666667
4,2000,,1,OBJ,FOIL,stimuli/fractals/95a.jpg,-0.390625,-0.1388888888888889,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
5,1000,,1,OBJ,LURE,stimuli/fractals/133c.jpg,-0.078125,-0.4166666666666667,16.0,ERP,stimuli/fractals/133a.jpg,-0.078125,-0.4166666666666667,stimuli/fractals/133a.jpg,stimuli/fractals/133b.jpg,stimuli/fractals/133c.jpg,-0.078125,-0.4166666666666667,0.234375,-0.4166666666666667,-0.234375,-0.1388888888888889,-0.390625,0.4166666666666667
6,3000,,1,OBJ,LURE,stimuli/fractals/149a.jpg,-0.390625,-0.4166666666666667,2.0,OLP,stimuli/fractals/149b.jpg,-0.390625,-0.4166666666666667,stimuli/fractals/149b.jpg,stimuli/fractals/149c.jpg,stimuli/fractals/149a.jpg,-0.390625,-0.4166666666666667,-0.234375,-0.4166666666666667,-0.390625,-0.1388888888888889,0.234375,-0.1388888888888889
7,1000,,1,OBJ,FOIL,stimuli/fractals/118b.jpg,-0.390625,-0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
8,2000,,1,OBJ,LURE,stimuli/fractals/17b.jpg,0.234375,0.1388888888888889,24.0,ERP,stimuli/fractals/17c.jpg,0.234375,0.1388888888888889,stimuli/fractals/17c.jpg,stimuli/fractals/17a.jpg,stimuli/fractals/17b.jpg,0.234375,0.1388888888888889,0.078125,0.1388888888888889,0.390625,-0.1388888888888889,-0.390625,-0.4166666666666667
9,2000,,1,OBJ,FOIL,stimuli/fractals/112b.jpg,0.390625,-0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
10,6000,,1,OBJ,FOIL,stimuli/fractals/16c.jpg,0.390625,-0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
11,2000,,1,OBJ,TARGET,stimuli/fractals/65a.jpg,-0.234375,-0.1388888888888889,3.0,OLP,stimuli/fractals/65a.jpg,-0.234375,-0.1388888888888889,stimuli/fractals/65a.jpg,stimuli/fractals/65c.jpg,stimuli/fractals/65b.jpg,-0.234375,-0.1388888888888889,-0.234375,0.1388888888888889,-0.234375,-0.4166666666666667,0.390625,-0.4166666666666667
12,2000,,1,OBJ,LURE,stimuli/fractals/7a.jpg,-0.234375,0.1388888888888889,4.0,OLP,stimuli/fractals/7b.jpg,-0.234375,0.1388888888888889,stimuli/fractals/7b.jpg,stimuli/fractals/7c.jpg,stimuli/fractals/7a.jpg,-0.234375,0.1388888888888889,0.078125,0.1388888888888889,-0.390625,0.4166666666666667,0.390625,-0.4166666666666667
13,3000,,1,OBJ,FOIL,stimuli/fractals/25a.jpg,0.234375,0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
14,2000,,1,OBJ,FOIL,stimuli/fractals/143b.jpg,-0.390625,0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
15,1000,,1,OBJ,TARGET,stimuli/fractals/86b.jpg,0.234375,-0.4166666666666667,27.0,ERP,stimuli/fractals/86b.jpg,0.234375,-0.4166666666666667,stimuli/fractals/86b.jpg,stimuli/fractals/86c.jpg,stimuli/fractals/86a.jpg,0.234375,-0.4166666666666667,0.390625,-0.4166666666666667,0.234375,-0.1388888888888889,-0.390625,0.4166666666666667
16,1000,,1,OBJ,LURE,stimuli/fractals/70c.jpg,0.390625,0.4166666666666667,9.0,OLP,stimuli/fractals/70b.jpg,0.390625,0.4166666666666667,stimuli/fractals/70b.jpg,stimuli/fractals/70a.jpg,stimuli/fractals/70c.jpg,0.390625,0.4166666666666667,0.078125,0.4166666666666667,0.390625,-0.1388888888888889,-0.390625,-0.4166666666666667
