TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
69.0,1000.0,1.0,LLP,1.0,2.0,stimuli/fractals/144a.jpg,-0.390625,-0.1388888888888889,stimuli/fractals/144a.jpg,stimuli/fractals/144b.jpg,stimuli/fractals/144c.jpg,-0.390625,-0.1388888888888889,-0.390625,-0.4166666666666667,-0.234375,-0.1388888888888889,0.234375,-0.4166666666666667
70.0,1000.0,1.0,OLP,1.0,3.0,stimuli/fractals/27a.jpg,-0.390625,0.1388888888888889,stimuli/fractals/27a.jpg,stimuli/fractals/27b.jpg,stimuli/fractals/27c.jpg,-0.390625,0.1388888888888889,-0.234375,0.1388888888888889,-0.390625,-0.1388888888888889,0.390625,-0.1388888888888889
71.0,500.0,1.0,ERP,1.0,5.0,stimuli/fractals/138a.jpg,-0.234375,0.4166666666666667,stimuli/fractals/138a.jpg,stimuli/fractals/138c.jpg,stimuli/fractals/138b.jpg,-0.234375,0.4166666666666667,-0.234375,0.1388888888888889,-0.078125,0.4166666666666667,0.078125,-0.4166666666666667
72.0,7000.0,1.0,LLP,2.0,0.0,stimuli/fractals/144a.jpg,-0.390625,-0.4166666666666667,stimuli/fractals/144a.jpg,stimuli/fractals/144b.jpg,stimuli/fractals/144c.jpg,-0.390625,-0.1388888888888889,-0.390625,-0.4166666666666667,-0.234375,-0.1388888888888889,0.234375,-0.4166666666666667
73.0,4000.0,1.0,OLP,2.0,0.0,stimuli/fractals/95b.jpg,0.234375,-0.4166666666666667,stimuli/fractals/95a.jpg,stimuli/fractals/95b.jpg,stimuli/fractals/95c.jpg,0.234375,-0.4166666666666667,0.390625,-0.4166666666666667,0.078125,-0.4166666666666667,-0.234375,0.1388888888888889
74.0,2000.0,1.0,OLP,2.0,0.0,stimuli/fractals/27b.jpg,-0.390625,0.1388888888888889,stimuli/fractals/27a.jpg,stimuli/fractals/27b.jpg,stimuli/fractals/27c.jpg,-0.390625,0.1388888888888889,-0.234375,0.1388888888888889,-0.390625,-0.1388888888888889,0.390625,-0.1388888888888889
75.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/69c.jpg,-0.078125,-0.4166666666666667,stimuli/fractals/69c.jpg,stimuli/fractals/69b.jpg,stimuli/fractals/69a.jpg,-0.078125,-0.4166666666666667,0.078125,-0.4166666666666667,-0.234375,-0.4166666666666667,0.234375,0.4166666666666667
76.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/86a.jpg,0.078125,-0.1388888888888889,stimuli/fractals/86a.jpg,stimuli/fractals/86c.jpg,stimuli/fractals/86b.jpg,0.078125,-0.1388888888888889,0.078125,0.1388888888888889,-0.078125,-0.1388888888888889,-0.390625,0.4166666666666667
77.0,1000.0,1.0,ERP,2.0,0.0,stimuli/fractals/138a.jpg,-0.234375,0.4166666666666667,stimuli/fractals/138a.jpg,stimuli/fractals/138c.jpg,stimuli/fractals/138b.jpg,-0.234375,0.4166666666666667,-0.234375,0.1388888888888889,-0.078125,0.4166666666666667,0.078125,-0.4166666666666667
78.0,7000.0,1.0,OLP,1.0,4.0,stimuli/fractals/43b.jpg,-0.078125,0.1388888888888889,stimuli/fractals/43b.jpg,stimuli/fractals/43c.jpg,stimuli/fractals/43a.jpg,-0.078125,0.1388888888888889,-0.234375,0.1388888888888889,-0.078125,-0.1388888888888889,0.390625,-0.4166666666666667
79.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/113a.jpg,-0.078125,-0.1388888888888889,stimuli/fractals/113a.jpg,stimuli/fractals/113c.jpg,stimuli/fractals/113b.jpg,-0.078125,-0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.390625,0.4166666666666667
80.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/86c.jpg,0.078125,-0.1388888888888889,stimuli/fractals/86a.jpg,stimuli/fractals/86c.jpg,stimuli/fractals/86b.jpg,0.078125,-0.1388888888888889,0.078125,0.1388888888888889,-0.078125,-0.1388888888888889,-0.390625,0.4166666666666667
81.0,1000.0,1.0,LLP,2.0,0.0,stimuli/fractals/69c.jpg,0.078125,-0.4166666666666667,stimuli/fractals/69c.jpg,stimuli/fractals/69b.jpg,stimuli/fractals/69a.jpg,-0.078125,-0.4166666666666667,0.078125,-0.4166666666666667,-0.234375,-0.4166666666666667,0.234375,0.4166666666666667
82.0,4000.0,1.0,ERP,2.0,0.0,stimuli/fractals/113a.jpg,-0.078125,-0.1388888888888889,stimuli/fractals/113a.jpg,stimuli/fractals/113c.jpg,stimuli/fractals/113b.jpg,-0.078125,-0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.390625,0.4166666666666667
83.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/43c.jpg,-0.078125,0.1388888888888889,stimuli/fractals/43b.jpg,stimuli/fractals/43c.jpg,stimuli/fractals/43a.jpg,-0.078125,0.1388888888888889,-0.234375,0.1388888888888889,-0.078125,-0.1388888888888889,0.390625,-0.4166666666666667
84.0,3000.0,1.0,BL,0.0,0.0,stimuli/fractals/32a.jpg,-0.390625,-0.4166666666666667,stimuli/fractals/32a.jpg,stimuli/fractals/32b.jpg,stimuli/fractals/32c.jpg,-0.390625,-0.4166666666666667,-0.234375,-0.4166666666666667,-0.390625,-0.1388888888888889,0.078125,0.1388888888888889
85.0,500.0,2.0,LLP,1.0,1.0,stimuli/fractals/136b.jpg,0.234375,-0.1388888888888889,stimuli/fractals/136b.jpg,stimuli/fractals/136a.jpg,stimuli/fractals/136c.jpg,0.234375,-0.1388888888888889,0.234375,-0.4166666666666667,0.234375,0.1388888888888889,-0.390625,0.1388888888888889
86.0,3000.0,2.0,OLP,1.0,2.0,stimuli/fractals/17a.jpg,-0.234375,-0.1388888888888889,stimuli/fractals/17a.jpg,stimuli/fractals/17b.jpg,stimuli/fractals/17c.jpg,-0.234375,-0.1388888888888889,-0.234375,-0.4166666666666667,-0.390625,-0.1388888888888889,0.390625,-0.4166666666666667
87.0,2000.0,2.0,LLP,2.0,0.0,stimuli/fractals/136b.jpg,0.234375,-0.4166666666666667,stimuli/fractals/136b.jpg,stimuli/fractals/136a.jpg,stimuli/fractals/136c.jpg,0.234375,-0.1388888888888889,0.234375,-0.4166666666666667,0.234375,0.1388888888888889,-0.390625,0.1388888888888889
88.0,3000.0,2.0,OLP,1.0,1.0,stimuli/fractals/88a.jpg,0.390625,0.4166666666666667,stimuli/fractals/88a.jpg,stimuli/fractals/88b.jpg,stimuli/fractals/88c.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.234375,0.1388888888888889
89.0,3000.0,2.0,OLP,2.0,0.0,stimuli/fractals/17b.jpg,-0.234375,-0.1388888888888889,stimuli/fractals/17a.jpg,stimuli/fractals/17b.jpg,stimuli/fractals/17c.jpg,-0.234375,-0.1388888888888889,-0.234375,-0.4166666666666667,-0.390625,-0.1388888888888889,0.390625,-0.4166666666666667
90.0,4000.0,2.0,OLP,2.0,0.0,stimuli/fractals/88b.jpg,0.390625,0.4166666666666667,stimuli/fractals/88a.jpg,stimuli/fractals/88b.jpg,stimuli/fractals/88c.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.234375,0.1388888888888889
91.0,3000.0,2.0,ERP,1.0,3.0,stimuli/fractals/45c.jpg,-0.078125,-0.4166666666666667,stimuli/fractals/45c.jpg,stimuli/fractals/45b.jpg,stimuli/fractals/45a.jpg,-0.078125,-0.4166666666666667,-0.234375,-0.4166666666666667,-0.078125,-0.1388888888888889,0.390625,0.4166666666666667
92.0,2000.0,2.0,ERP,1.0,3.0,stimuli/fractals/84a.jpg,0.078125,-0.1388888888888889,stimuli/fractals/84a.jpg,stimuli/fractals/84b.jpg,stimuli/fractals/84c.jpg,0.078125,-0.1388888888888889,0.078125,0.1388888888888889,-0.078125,-0.1388888888888889,-0.390625,0.4166666666666667
93.0,8000.0,2.0,OLP,1.0,5.0,stimuli/fractals/129c.jpg,0.078125,0.4166666666666667,stimuli/fractals/129c.jpg,stimuli/fractals/129a.jpg,stimuli/fractals/129b.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,-0.078125,0.4166666666666667,-0.390625,-0.4166666666666667
94.0,1000.0,2.0,LLP,1.0,5.0,stimuli/fractals/62c.jpg,0.234375,-0.1388888888888889,stimuli/fractals/62c.jpg,stimuli/fractals/62a.jpg,stimuli/fractals/62b.jpg,0.234375,-0.1388888888888889,0.078125,-0.1388888888888889,0.234375,0.1388888888888889,-0.390625,0.1388888888888889
95.0,500.0,2.0,ERP,2.0,0.0,stimuli/fractals/45c.jpg,-0.078125,-0.4166666666666667,stimuli/fractals/45c.jpg,stimuli/fractals/45b.jpg,stimuli/fractals/45a.jpg,-0.078125,-0.4166666666666667,-0.234375,-0.4166666666666667,-0.078125,-0.1388888888888889,0.390625,0.4166666666666667
96.0,2000.0,2.0,ERP,2.0,0.0,stimuli/fractals/84a.jpg,0.078125,-0.1388888888888889,stimuli/fractals/84a.jpg,stimuli/fractals/84b.jpg,stimuli/fractals/84c.jpg,0.078125,-0.1388888888888889,0.078125,0.1388888888888889,-0.078125,-0.1388888888888889,-0.390625,0.4166666666666667
97.0,2000.0,2.0,LLP,1.0,4.0,stimuli/fractals/44b.jpg,-0.390625,0.4166666666666667,stimuli/fractals/44b.jpg,stimuli/fractals/44a.jpg,stimuli/fractals/44c.jpg,-0.390625,0.4166666666666667,-0.390625,0.1388888888888889,-0.234375,0.4166666666666667,0.390625,-0.4166666666666667
98.0,6000.0,2.0,ERP,1.0,4.0,stimuli/fractals/52a.jpg,-0.234375,-0.1388888888888889,stimuli/fractals/52a.jpg,stimuli/fractals/52c.jpg,stimuli/fractals/52b.jpg,-0.234375,-0.1388888888888889,-0.390625,-0.1388888888888889,-0.234375,-0.4166666666666667,0.390625,0.1388888888888889
99.0,4000.0,2.0,OLP,2.0,0.0,stimuli/fractals/129a.jpg,0.078125,0.4166666666666667,stimuli/fractals/129c.jpg,stimuli/fractals/129a.jpg,stimuli/fractals/129b.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,-0.078125,0.4166666666666667,-0.390625,-0.4166666666666667
100.0,3000.0,2.0,LLP,2.0,0.0,stimuli/fractals/62c.jpg,0.078125,-0.1388888888888889,stimuli/fractals/62c.jpg,stimuli/fractals/62a.jpg,stimuli/fractals/62b.jpg,0.234375,-0.1388888888888889,0.078125,-0.1388888888888889,0.234375,0.1388888888888889,-0.390625,0.1388888888888889
101.0,6000.0,2.0,LLP,1.0,2.0,stimuli/fractals/116c.jpg,-0.390625,0.1388888888888889,stimuli/fractals/116c.jpg,stimuli/fractals/116a.jpg,stimuli/fractals/116b.jpg,-0.390625,0.1388888888888889,-0.234375,0.1388888888888889,-0.390625,-0.1388888888888889,0.390625,-0.1388888888888889
102.0,2000.0,2.0,LLP,2.0,0.0,stimuli/fractals/44b.jpg,-0.390625,0.1388888888888889,stimuli/fractals/44b.jpg,stimuli/fractals/44a.jpg,stimuli/fractals/44c.jpg,-0.390625,0.4166666666666667,-0.390625,0.1388888888888889,-0.234375,0.4166666666666667,0.390625,-0.4166666666666667
103.0,1000.0,2.0,ERP,2.0,0.0,stimuli/fractals/52a.jpg,-0.234375,-0.1388888888888889,stimuli/fractals/52a.jpg,stimuli/fractals/52c.jpg,stimuli/fractals/52b.jpg,-0.234375,-0.1388888888888889,-0.390625,-0.1388888888888889,-0.234375,-0.4166666666666667,0.390625,0.1388888888888889
104.0,3000.0,2.0,LLP,2.0,0.0,stimuli/fractals/116c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/116c.jpg,stimuli/fractals/116a.jpg,stimuli/fractals/116b.jpg,-0.390625,0.1388888888888889,-0.234375,0.1388888888888889,-0.390625,-0.1388888888888889,0.390625,-0.1388888888888889
